WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindSpeed,WindDirection,StationPressure,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.7,09-21-2019,16:00:00,86,10.00,31.14,3.7,090,993.08,4.50,27.3,49.00,1007.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.6,09-21-2019,16:00:00,82,10.00,30.84,3.7,120,993.19,0.40,28.0,59.40,1007.98
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.5,09-21-2019,16:00:00,93,6.00,32.54,0.0,000,993.25,25.20,26.6,61.80,1007.95
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.7,09-21-2019,16:00:00,83,9.00,33.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1003.40,0.20,28.8,8.90,1006.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.6,09-21-2019,16:00:00,61,10.00,29.14,9.3,330,997.62,0.00,32.1,2.30,1005.42
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.7,09-21-2019,16:00:00,90,8.00,33.01,3.7,320,1005.84,0.90,27.4,4.10,1006.94
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.3,09-21-2019,16:00:00,86,9.00,36.22,5.6,110,992.38,0.00,29.9,10.70,1006.92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.6,09-21-2019,16:00:00,97,5.00,22.83,0.0,000,873.00,7.60,20.1,9.60,1007.85
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.6,09-21-2019,16:00:00,79,10.00,34.74,3.7,130,999.99,0.00,30.6,14.60,1005.79
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.1,09-21-2019,16:00:00,92,7.00,31.79,0.0,000,1005.76,39.00,26.5,42.60,1006.57
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.8,09-21-2019,16:00:00,87,10.00,31.22,3.7,120,1006.08,3.00,27.2,43.00,1006.53
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.8,09-21-2019,16:00:00,93,4.00,31.38,0.0,000,996.37,10.20,26.0,59.80,1007.72
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.2,09-21-2019,16:00:00,80,10.00,31.98,0.0,000,1005.76,0.01,29.0,12.70,1006.76
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.9,09-21-2019,16:00:00,88,2.00,33.37,9.3,040,1005.53,1.40,28.0,33.10,1007.35
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.1,09-21-2019,16:00:00,80,8.00,31.77,0.0,000,1005.71,0.01,28.9,51.20,1006.47
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.2,09-21-2019,16:00:00,82,10.00,30.15,7.4,040,1006.27,0.01,27.5,37.40,1006.98
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.8,09-21-2019,16:00:00,88,6.00,31.38,3.7,030,1006.19,1.20,27.0,2.70,1006.90
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.1,09-21-2019,16:00:00,93,6.00,30.07,0.0,000,985.53,7.40,25.3,15.10,1006.80
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.4,09-21-2019,16:00:00,74,11.00,30.52,7.4,070,989.69,0.10,29.4,7.10,1006.26
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.3,09-21-2019,16:00:00,69,14.00,28.61,14.8,050,990.75,0.00,29.7,3.80,1007.03
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.6,09-21-2019,16:00:00,92,8.00,30.84,0.0,000,984.91,8.90,26.0,28.60,1006.84
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.8,09-21-2019,16:00:00,93,9.00,29.52,11.1,060,963.73,0.10,25.0,1.90,1007.25
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.4,09-21-2019,16:00:00,97,10.00,28.78,0.0,000,986.21,24.40,24.0,25.80,1006.98
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.6,09-21-2019,16:00:00,76,9.00,32.92,18.5,060,987.09,0.00,30.3,10.20,1007.69
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.3,09-21-2019,16:00:00,96,8.00,30.32,0.0,000,1005.65,9.40,25.0,11.80,1006.09
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.6,09-21-2019,16:00:00,92,8.00,30.84,0.0,000,1005.40,2.00,26.0,27.60,1006.83
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.7,09-21-2019,16:00:00,95,7.00,31.17,0.0,000,1001.84,6.40,25.6,7.80,1006.80
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.1,09-21-2019,16:00:00,93,10.00,31.88,0.0,000,1003.53,22.80,26.4,34.70,1006.83
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.4,09-21-2019,16:00:00,86,10.00,30.56,0.0,000,1006.01,3.50,27.0,17.10,1007.12
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.7,09-21-2019,16:00:00,94,5.00,31.08,7.4,040,1006.46,6.70,25.7,38.60,1006.76
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.9,09-21-2019,16:00:00,98,3.00,31.49,0.0,000,1005.74,9.30,25.2,24.60,1006.44
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.0,09-21-2019,16:00:00,97,8.00,31.60,0.0,000,1005.78,8.00,25.4,17.90,1006.27
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.7,09-21-2019,16:00:00,96,8.00,31.06,7.4,360,1005.51,2.80,25.4,20.00,1006.93
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.6,09-21-2019,16:00:00,98,4.00,32.76,11.1,030,1004.71,2.00,26.0,2.50,1006.40
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.9,09-21-2019,16:00:00,90,10.00,31.55,0.0,000,1000.55,0.01,26.8,2.50,1008.57
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.8,09-21-2019,16:00:00,85,10.00,33.24,3.7,060,1005.94,0.90,28.5,6.30,1006.22
