WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,MinimumTemperature,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.03,08-23-2019,07:00:00,000,24.4,1003.10,0.20,8.00,24.2,0.00,25.4,0.0,93,30.25
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.88,08-23-2019,07:00:00,090,25.5,1008.07,0.60,8.00,25.8,0.00,26.5,5.6,96,33.19
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.27,08-23-2019,07:00:00,210,27.7,1007.82,0.50,10.00,24.7,0.00,29.0,13.0,78,31.13
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.07,08-23-2019,07:00:00,000,24.3,997.65,8.80,3.00,24.1,1.00,24.5,0.0,97,29.93
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.96,08-23-2019,07:00:00,180,26.0,1007.94,0.10,10.00,24.5,0.10,26.7,3.7,88,30.81
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.67,08-23-2019,07:00:00,160,26.0,1006.84,0.00,7.00,24.5,0.00,26.1,3.7,91,30.76
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.59,08-23-2019,07:00:00,000,25.5,1007.82,0.30,8.00,23.9,0.01,26.5,0.0,86,29.62
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.00,08-23-2019,07:00:00,000,25.3,1008.30,0.01,10.00,26.2,0.01,27.5,0.0,93,34.07
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.08,08-23-2019,07:00:00,090,25.4,1008.37,0.70,7.00,24.8,0.00,26.2,3.7,92,31.22
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.80,08-23-2019,07:00:00,220,25.7,987.57,0.60,10.00,22.9,0.00,26.4,3.7,81,27.85
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1009.35,08-23-2019,07:00:00,000,24.5,992.52,1.30,8.00,23.9,0.00,25.7,0.0,90,29.74
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1009.56,08-23-2019,07:00:00,000,24.5,993.01,1.20,5.00,24.8,0.00,25.5,0.0,96,31.25
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.08,08-23-2019,07:00:00,000,25.3,987.11,0.00,10.00,23.8,0.00,26.0,0.0,88,29.50
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.18,08-23-2019,07:00:00,000,23.9,965.50,3.80,12.00,23.0,0.00,24.5,0.0,91,28.11
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.70,08-23-2019,07:00:00,000,26.0,988.07,0.01,8.00,24.1,0.00,26.4,0.0,87,29.97
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.83,08-23-2019,07:00:00,170,25.1,989.81,0.60,6.00,25.2,0.40,25.2,5.6,100,32.04
