WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,WindDirection,StationPressure,AirTemperature,WindSpeed,Rainfall,Rainfall24Hr,VaporPressure,DewPoint,MeanSeaLevelPressure
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,4.00,10-04-2019,04:00:00,96,000,979.32,23.5,0.0,0.00,0.00,27.66,22.8,1009.38
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,10-04-2019,04:00:00,87,000,1002.03,25.5,0.0,0.00,0.00,28.33,23.1,1009.39
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.00,10-04-2019,04:00:00,84,100,989.49,27.0,7.4,0.00,0.00,30.02,24.1,1009.42
48353,LOEI,เลย,เลย,17.45000,101.73333,5.00,10-04-2019,04:00:00,88,000,980.55,24.5,0.0,0.00,0.00,27.10,22.4,1009.47
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,8.00,10-04-2019,04:00:00,86,080,989.44,26.5,3.7,0.00,0.00,29.89,24.0,1009.68
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,6.00,10-04-2019,04:00:00,92,000,988.75,25.0,0.0,0.00,0.00,29.00,23.5,1010.68
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.00,10-04-2019,04:00:00,89,000,989.85,26.1,0.0,0.00,0.00,29.95,24.1,1009.42
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,8.00,10-04-2019,04:00:00,85,000,993.87,25.9,0.0,0.00,0.00,28.26,23.1,1010.73
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,10-04-2019,04:00:00,92,000,993.34,25.1,0.0,0.00,0.00,29.44,23.8,1010.92
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,8.00,10-04-2019,04:00:00,94,000,983.18,26.5,0.0,0.00,0.00,32.63,25.5,1009.04
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,6.00,10-04-2019,04:00:00,97,000,1004.00,26.0,0.0,0.00,0.00,32.48,25.4,1009.82
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,5.00,10-04-2019,04:00:00,95,000,1003.32,26.0,0.0,0.00,0.00,31.93,25.1,1009.55
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,7.00,10-04-2019,04:00:00,86,000,992.89,25.0,0.0,0.00,0.00,27.19,22.5,1009.47
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,10-04-2019,04:00:00,91,000,986.67,23.2,0.0,0.00,0.00,25.92,21.7,1009.32
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,10-04-2019,04:00:00,93,000,995.74,24.7,0.0,0.00,0.00,28.98,23.5,1010.29
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,10-04-2019,04:00:00,88,000,993.08,25.5,0.0,0.00,0.00,28.59,23.3,1009.58
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,7.00,10-04-2019,04:00:00,91,000,1004.00,25.7,0.0,0.00,0.00,30.01,24.1,1009.27
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,8.00,10-04-2019,04:00:00,92,000,994.53,26.0,0.0,0.00,0.00,30.84,24.6,1007.78
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,10-04-2019,04:00:00,92,000,999.72,25.4,0.0,0.00,0.00,29.99,24.1,1009.12
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,10-04-2019,04:00:00,93,000,987.68,25.5,0.0,0.00,0.00,30.17,24.2,1009.53
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,{'@attributes': {'Unit': 'km'}},10-04-2019,04:00:00,88,000,991.03,25.0,0.0,0.00,0.00,27.70,22.8,1008.67
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,10-04-2019,04:00:00,79,200,993.45,26.2,3.7,0.00,0.00,26.72,22.2,1009.36
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,6.00,10-04-2019,04:00:00,95,000,989.62,25.5,0.0,0.00,0.00,30.98,24.6,1008.63
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.00,10-04-2019,04:00:00,94,000,959.99,21.2,0.0,0.00,0.00,23.52,20.1,1012.24
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,2.00,10-04-2019,04:00:00,94,000,1004.97,27.2,0.0,0.00,0.00,34.03,26.2,1008.93
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,3.00,10-04-2019,04:00:00,97,000,915.37,19.6,0.0,0.00,6.00,22.12,19.1,1011.46
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,6.00,10-04-2019,04:00:00,95,000,993.88,26.2,0.0,0.00,0.00,32.32,25.3,1009.95
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.00,10-04-2019,04:00:00,95,000,1005.31,25.9,0.0,0.00,5.90,31.74,25.0,1009.37
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,6.00,10-04-2019,04:00:00,93,000,999.56,25.8,0.0,0.00,0.00,31.00,24.6,1010.31
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.00,10-04-2019,04:00:00,89,130,1007.78,25.6,3.7,0.00,0.00,29.29,23.7,1009.72
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.00,10-04-2019,04:00:00,84,000,988.49,25.2,0.0,0.00,0.00,27.03,22.4,1009.52
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,8.00,10-04-2019,04:00:00,94,000,991.41,25.5,0.0,0.00,0.00,30.71,24.5,1009.20
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,8.00,10-04-2019,04:00:00,93,000,993.06,26.5,0.0,0.00,0.00,32.35,25.4,1009.28
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.00,10-04-2019,04:00:00,85,000,996.32,25.3,0.0,0.00,0.00,27.46,22.6,1010.48
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,8.00,10-04-2019,04:00:00,93,000,996.11,24.5,0.0,0.00,0.00,28.63,23.3,1011.12
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,10-04-2019,04:00:00,96,000,996.23,26.0,0.0,0.00,19.10,32.20,25.3,1011.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,5.00,10-04-2019,04:00:00,86,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1006.34,26.7,0.0,0.00,0.00,30.26,24.2,1009.37
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,10-04-2019,04:00:00,90,000,1001.45,26.0,0.0,0.00,0.00,30.30,24.3,1009.44
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,{'@attributes': {'Unit': 'km'}},10-04-2019,04:00:00,{'@attributes': {'Unit': '%'}},"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'celcius'}},0.0,0.00,0.00,{'@attributes': {'Unit': 'mb'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'hPa'}}
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,10-04-2019,04:00:00,84,100,993.68,26.0,3.7,0.00,0.00,28.18,23.1,1008.44
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,2.00,10-04-2019,04:00:00,98,190,875.69,19.4,5.6,0.00,11.60,22.06,19.1,1011.29
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,10-04-2019,04:00:00,95,000,1003.72,24.6,0.0,0.00,26.60,29.33,23.7,1009.66
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.00,10-04-2019,04:00:00,80,000,1010.23,26.0,0.0,0.00,15.10,26.88,22.3,1011.04
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,10-04-2019,04:00:00,82,000,1009.34,27.8,0.0,0.00,3.40,30.72,24.5,1009.79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,10-04-2019,04:00:00,94,000,998.90,24.7,0.0,0.00,0.00,29.25,23.7,1010.32
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,6.00,10-04-2019,04:00:00,89,000,1008.60,26.0,0.0,0.00,0.00,29.76,24.0,1009.62
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,10-04-2019,04:00:00,84,150,1007.95,26.0,3.7,0.00,0.00,28.18,23.1,1009.78
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.00,10-04-2019,04:00:00,92,000,1008.62,23.9,0.0,0.00,0.00,27.34,22.6,1009.39
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,8.00,10-04-2019,04:00:00,92,020,1008.96,25.5,9.3,0.00,0.00,29.91,24.0,1009.67
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,10-04-2019,04:00:00,85,000,1010.73,27.0,0.0,0.00,0.00,30.29,24.3,1011.44
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,6.00,10-04-2019,04:00:00,91,000,988.52,24.6,0.0,0.00,0.40,28.03,23.0,1009.90
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,6.00,10-04-2019,04:00:00,94,000,993.12,25.5,0.0,0.00,0.01,30.71,24.5,1009.97
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,6.00,10-04-2019,04:00:00,95,000,994.83,25.1,0.0,0.00,27.00,30.23,24.2,1011.43
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,4.00,10-04-2019,04:00:00,92,000,987.66,25.0,0.0,0.00,0.00,29.00,23.5,1009.71
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,6.00,10-04-2019,04:00:00,95,080,966.36,22.4,5.6,0.00,0.30,25.85,21.6,1010.40
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.00,10-04-2019,04:00:00,96,150,988.42,25.0,3.7,0.00,0.20,30.32,24.3,1009.16
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,5.00,10-04-2019,04:00:00,100,200,990.18,25.1,7.4,0.00,0.00,31.85,25.1,1011.21
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,10-04-2019,04:00:00,92,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.12,25.5,0.0,0.00,0.01,29.91,24.0,1009.55
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,10-04-2019,04:00:00,97,000,1008.14,24.6,0.0,0.00,8.20,29.85,24.0,1009.57
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,10-04-2019,04:00:00,98,000,1004.69,25.0,0.0,0.00,1.10,31.12,24.7,1009.67
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,10-04-2019,04:00:00,93,000,1006.34,24.5,0.0,0.00,1.80,28.63,23.3,1009.66
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,10-04-2019,04:00:00,97,000,1008.39,24.0,0.0,0.00,0.00,28.78,23.4,1009.51
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,10-04-2019,04:00:00,77,000,1009.06,27.2,0.0,0.00,0.00,27.72,22.8,1009.36
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,7.00,10-04-2019,04:00:00,75,110,1009.17,27.2,1.9,0.00,0.00,27.19,22.5,1009.66
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,10-04-2019,04:00:00,84,090,1008.16,26.0,13.0,0.00,6.00,28.18,23.1,1009.58
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,10-04-2019,04:00:00,99,000,1004.12,23.5,0.0,0.00,36.10,28.68,23.3,1012.26
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.00,10-04-2019,04:00:00,95,000,1009.09,26.6,0.0,0.00,0.00,33.10,25.7,1009.37
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,10-04-2019,04:00:00,94,000,1005.93,27.0,0.0,0.00,0.00,33.34,25.9,1009.06
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,10-04-2019,04:00:00,92,000,1002.46,27.1,0.0,0.00,0.00,32.97,25.7,1009.41
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,10-04-2019,04:00:00,92,000,1004.40,25.5,0.0,0.00,1.10,29.91,24.0,1010.04
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,10-04-2019,04:00:00,93,000,1009.64,24.5,0.0,0.00,0.00,28.63,23.3,1010.92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,10-04-2019,04:00:00,89,330,1009.01,25.7,9.3,0.00,0.00,29.21,23.7,1009.44
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,10-04-2019,04:00:00,96,000,997.76,23.4,0.0,0.00,0.70,27.49,22.6,1010.21
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,10-04-2019,04:00:00,85,000,1008.82,25.7,0.0,0.00,0.00,27.90,22.9,1009.54
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,10-04-2019,04:00:00,91,180,1007.54,27.1,5.6,0.00,0.20,32.69,25.5,1009.98
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.00,10-04-2019,04:00:00,83,190,1009.04,28.7,5.6,0.00,0.00,32.79,25.6,1009.56
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,8.00,10-04-2019,04:00:00,95,000,1004.28,26.5,0.0,0.50,0.50,32.91,25.6,1009.46
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,10-04-2019,04:00:00,93,030,1009.35,25.3,3.7,0.00,0.00,30.07,24.1,1009.77
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,10-04-2019,04:00:00,94,000,1007.23,25.2,0.0,0.00,0.00,30.15,24.2,1010.02
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,10-04-2019,04:00:00,88,000,1009.04,24.9,0.0,0.00,0.00,27.79,22.8,1009.84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,10-04-2019,04:00:00,92,060,1009.40,25.1,7.4,0.00,0.00,29.18,23.6,1009.86
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,10-04-2019,04:00:00,95,000,1009.22,24.8,0.0,0.00,0.00,29.69,23.9,1009.91
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,10-04-2019,04:00:00,96,000,1008.93,23.8,0.0,0.00,2.40,28.18,23.1,1010.48
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,10-04-2019,04:00:00,94,000,1009.64,24.6,0.0,0.00,0.00,29.07,23.6,1010.57
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,10-04-2019,04:00:00,86,000,1009.61,26.2,0.0,0.00,0.00,29.33,23.7,1010.30
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,7.00,10-04-2019,04:00:00,96,000,1009.81,23.6,0.0,0.00,0.00,28.09,23.0,1010.62
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,10-04-2019,04:00:00,96,000,1009.19,24.1,0.0,0.00,0.00,28.70,23.4,1009.83
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,10-04-2019,04:00:00,97,000,1011.55,24.4,0.0,0.00,62.20,29.49,23.8,1011.96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,4.00,10-04-2019,04:00:00,98,000,1008.16,22.6,0.0,0.00,63.10,26.91,22.3,1012.45
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,7.00,10-04-2019,04:00:00,98,000,1008.99,23.5,0.0,0.00,18.20,28.42,23.2,1010.63
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,5.00,10-04-2019,04:00:00,97,000,1007.19,23.8,0.0,0.00,2.00,28.69,23.4,1010.72
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,10-04-2019,04:00:00,96,270,1008.91,24.0,3.7,0.00,0.00,28.53,23.3,1010.28
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,10-04-2019,04:00:00,98,000,1009.09,24.5,0.0,0.00,22.00,30.20,24.2,1009.98
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,10-04-2019,04:00:00,96,000,1006.97,23.2,0.0,0.00,0.00,27.41,22.6,1010.58
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,9.00,10-04-2019,04:00:00,91,000,1009.71,26.7,0.0,0.20,0.20,31.91,25.1,1010.15
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,10-04-2019,04:00:00,95,000,1008.69,25.9,0.0,0.00,2.00,31.74,25.0,1009.69
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,10-04-2019,04:00:00,96,080,1009.73,25.0,9.3,0.00,3.80,30.32,24.3,1010.56
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,6.00,10-04-2019,04:00:00,98,000,1008.61,23.8,0.0,0.00,36.20,28.95,23.5,1010.45
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,10-04-2019,04:00:00,91,210,1009.50,24.8,1.9,0.00,0.01,28.38,23.2,1010.26
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.00,10-04-2019,04:00:00,98,990,1006.98,23.7,3.7,0.00,13.80,28.77,23.4,1011.03
48570,SATUN,สตูล,สตูล,6.65000,100.08333,8.00,10-04-2019,04:00:00,95,000,1010.14,25.1,0.0,0.00,25.30,30.23,24.2,1010.83
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,10-04-2019,04:00:00,96,000,1009.47,24.1,0.0,0.00,0.00,28.70,23.4,1010.59
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,10-04-2019,04:00:00,98,000,1008.02,24.5,0.0,0.00,6.60,30.20,24.2,1010.97
