WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,WindDirection,RelativeHumidity,Rainfall24Hr,AirTemperature,VaporPressure,StationPressure,MeanSeaLevelPressure,LandVisibility,WindSpeed
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.4,07-21-2019,01:00:00,0.00,180,85,2.00,29.2,34.41,1005.75,1007.14,10.00,11.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.3,07-21-2019,01:00:00,0.00,000,96,13.90,26.0,32.20,1000.91,1008.96,10.00,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.2,07-21-2019,01:00:00,0.00,180,85,0.00,29.0,33.99,1006.71,1006.99,10.00,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.3,07-21-2019,01:00:00,0.00,000,81,0.00,29.0,32.26,1004.04,1007.15,10.00,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.7,07-21-2019,01:00:00,0.00,210,85,0.00,28.5,32.96,1000.55,1007.46,12.00,9.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.2,07-21-2019,01:00:00,0.00,000,88,0.60,27.3,31.97,1002.38,1007.98,7.00,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.5,07-21-2019,01:00:00,0.01,190,94,0.30,26.5,32.63,1006.17,1007.43,10.00,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.0,07-21-2019,01:00:00,0.00,200,77,6.10,28.5,29.87,1006.65,1007.08,11.00,20.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.4,07-21-2019,01:00:00,0.00,180,83,0.00,26.5,28.82,995.30,1007.58,10.00,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.9,07-21-2019,01:00:00,0.00,190,79,0.00,28.0,29.74,1006.80,1007.51,10.00,7.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.5,07-21-2019,01:00:00,0.00,180,75,0.00,29.5,30.72,1003.98,1006.39,10.00,14.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.5,07-21-2019,01:00:00,0.00,220,81,0.00,29.0,32.55,1007.98,1008.50,10.00,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.3,07-21-2019,01:00:00,0.00,230,77,0.00,28.8,30.46,1002.52,1007.64,8.00,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.7,07-21-2019,01:00:00,0.00,000,85,0.40,28.5,32.96,1007.59,1008.00,7.00,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.4,07-21-2019,01:00:00,0.00,000,92,16.10,26.8,32.38,1005.40,1008.17,8.00,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.8,07-21-2019,01:00:00,0.00,080,96,27.40,25.5,31.25,1008.18,1008.64,6.00,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.8,07-21-2019,01:00:00,0.00,000,92,14.70,25.3,29.54,1007.85,1008.54,8.00,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.6,07-21-2019,01:00:00,0.00,000,93,2.00,24.8,29.16,1006.87,1008.41,8.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,07-21-2019,01:00:00,0.00,000,95,26.00,24.4,28.97,1007.94,1008.87,10.00,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,23.0,07-21-2019,01:00:00,0.00,000,75,2.60,27.8,28.02,1007.93,1008.61,10.00,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.9,07-21-2019,01:00:00,0.00,210,98,4.60,24.2,29.66,1008.52,1009.32,5.00,1.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.4,07-21-2019,01:00:00,0.00,000,89,0.00,26.3,30.59,1007.94,1008.58,10.00,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.9,07-21-2019,01:00:00,0.00,000,94,0.01,24.9,29.61,1008.76,1009.17,10.00,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.1,07-21-2019,01:00:00,0.00,000,93,0.00,25.3,30.07,1006.53,1010.78,5.00,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,07-21-2019,01:00:00,0.00,000,98,11.20,24.1,29.48,1007.39,1009.02,6.00,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.4,07-21-2019,01:00:00,0.00,000,97,35.70,24.0,28.78,1004.79,1008.31,7.00,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.0,07-21-2019,01:00:00,0.00,000,96,29.50,24.7,29.77,1007.89,1009.26,7.00,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.0,07-21-2019,01:00:00,0.00,000,97,44.20,25.6,31.71,1007.83,1008.72,10.00,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,07-21-2019,01:00:00,0.00,000,98,14.20,24.0,29.30,1005.74,1009.35,10.00,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.1,07-21-2019,01:00:00,0.00,000,96,8.00,25.8,31.82,1008.33,1008.76,10.00,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.3,07-21-2019,01:00:00,0.00,000,98,30.50,25.6,32.26,1007.28,1008.28,10.00,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.0,07-21-2019,01:00:00,0.00,090,96,16.20,24.7,29.77,1008.01,1008.83,10.00,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.9,07-21-2019,01:00:00,0.00,000,96,20.90,24.6,29.59,1007.57,1009.40,6.00,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.4,07-21-2019,01:00:00,0.00,230,85,3.70,26.2,28.80,1008.83,1009.58,8.00,1.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.2,07-21-2019,01:00:00,0.00,000,92,0.00,25.7,30.28,1005.36,1009.38,8.00,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,07-21-2019,01:00:00,0.00,000,94,6.80,25.0,29.79,1009.69,1010.38,10.00,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.6,07-21-2019,01:00:00,0.00,000,96,6.60,25.3,30.87,1008.03,1009.16,10.00,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.0,07-21-2019,01:00:00,0.00,000,93,0.00,25.2,29.89,1006.52,1009.46,10.00,0.0
