WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,StationPressure,LandVisibility,RelativeHumidity,WindDirection,DewPoint,Rainfall,AirTemperature,Rainfall24Hr
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-04-2019,04:00:00,28.47,1002.33,997.12,10.00,82,000,23.2,0.00,26.6,0.40
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-04-2019,04:00:00,28.11,1001.03,987.88,10.00,82,000,23.0,0.00,26.4,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.9,08-04-2019,04:00:00,26.91,1002.03,992.74,11.00,77,180,22.3,0.00,26.6,0.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.6,08-04-2019,04:00:00,27.29,1001.73,980.05,10.00,84,220,22.5,2.00,25.5,2.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,7.4,08-04-2019,04:00:00,28.59,1001.99,984.49,10.00,88,210,23.3,0.50,25.5,0.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,9.3,08-04-2019,04:00:00,27.27,1000.41,984.69,10.00,76,200,22.5,0.00,27.1,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,08-04-2019,04:00:00,30.03,1000.72,981.90,8.00,89,260,24.1,0.50,26.0,0.50
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-04-2019,04:00:00,21.97,1009.99,957.95,5.00,85,000,19.0,2.70,21.7,13.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,08-04-2019,04:00:00,31.52,1002.36,998.41,6.00,91,000,24.9,0.00,26.5,0.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.9,08-04-2019,04:00:00,23.34,1003.09,908.01,.15,98,220,20.0,0.90,20.3,6.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-04-2019,04:00:00,27.92,1001.70,985.75,5.00,83,000,22.9,0.00,26.0,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,13.0,08-04-2019,04:00:00,28.65,1002.85,998.85,10.00,76,220,23.3,0.00,28.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-04-2019,04:00:00,27.29,1004.47,993.77,7.00,84,000,22.5,0.00,25.5,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,14.8,08-04-2019,04:00:00,25.29,1003.81,1001.89,8.00,74,210,21.3,0.01,26.4,0.01
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,08-04-2019,04:00:00,26.20,1002.23,981.39,10.00,78,230,21.9,0.00,25.9,0.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,08-04-2019,04:00:00,26.06,1001.13,985.06,10.00,73,240,21.8,0.00,27.0,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,08-04-2019,04:00:00,26.06,1002.27,988.31,10.00,73,240,21.8,0.00,27.0,4.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-04-2019,04:00:00,28.29,1003.66,988.86,9.00,82,000,23.1,0.00,26.5,5.50
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,11.1,08-04-2019,04:00:00,27.69,1002.55,987.92,6.00,80,250,22.8,0.00,26.6,3.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-04-2019,04:00:00,26.86,1003.19,1000.19,10.00,73,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",22.3,0.00,27.6,0.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.6,08-04-2019,04:00:00,29.08,1002.57,994.64,7.00,84,150,23.6,0.00,26.5,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,18.5,08-04-2019,04:00:00,30.84,1004.83,1003.72,6.00,92,220,24.6,0.40,26.0,0.40
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-04-2019,04:00:00,31.46,1002.63,988.01,8.00,89,000,24.9,0.00,26.9,0.10
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,11.1,08-04-2019,04:00:00,21.11,1006.12,870.91,.05,98,290,18.4,0.40,18.7,0.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,08-04-2019,04:00:00,26.81,1003.57,997.70,10.00,78,240,22.2,0.00,26.4,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,14.8,08-04-2019,04:00:00,29.62,1005.37,1004.57,3.00,86,230,23.9,0.40,26.5,0.40
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,08-04-2019,04:00:00,30.04,1004.86,1004.42,10.00,78,230,24.1,0.00,28.3,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-04-2019,04:00:00,26.42,1006.97,995.53,4.00,91,000,22.0,10.00,23.5,25.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,08-04-2019,04:00:00,30.23,1004.80,1003.78,8.00,95,220,24.2,0.80,25.1,1.20
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,08-04-2019,04:00:00,27.63,1004.60,1002.77,6.00,85,190,22.7,0.50,25.4,0.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-04-2019,04:00:00,28.10,1004.78,1004.01,4.00,93,000,23.0,4.10,24.2,4.10
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,11.1,08-04-2019,04:00:00,29.21,1005.24,1004.54,10.00,82,260,23.6,0.00,27.0,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,08-04-2019,04:00:00,29.93,1004.37,1003.67,7.00,84,270,24.1,0.00,27.1,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,11.1,08-04-2019,04:00:00,26.77,1002.80,981.77,10.00,73,270,22.2,0.10,27.4,0.40
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.7,08-04-2019,04:00:00,26.31,1002.63,985.97,6.00,75,220,21.9,0.00,26.7,0.10
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.6,08-04-2019,04:00:00,26.64,1002.99,986.59,7.00,78,180,22.1,0.10,26.3,0.10
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-04-2019,04:00:00,25.46,1003.21,981.40,10.00,74,000,21.4,0.00,26.5,0.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,33.3,08-04-2019,04:00:00,23.55,1003.70,960.40,10.00,72,210,20.1,0.00,25.5,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,9.3,08-04-2019,04:00:00,24.04,1002.71,982.24,10.00,67,210,20.5,0.00,27.0,0.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,14.8,08-04-2019,04:00:00,28.44,1003.61,982.80,8.00,85,220,23.2,0.00,26.0,2.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,7.4,08-04-2019,04:00:00,29.15,1005.91,1005.47,10.00,86,270,23.6,0.10,26.1,0.20
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-04-2019,04:00:00,29.95,1004.46,1003.04,6.00,89,000,24.1,0.10,26.1,0.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-04-2019,04:00:00,27.83,1004.38,999.44,7.00,82,000,22.9,0.00,26.1,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,08-04-2019,04:00:00,28.51,1005.51,1002.21,10.00,87,220,23.2,5.30,25.6,5.50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-04-2019,04:00:00,29.33,1005.53,1004.42,5.00,95,000,23.7,2.70,24.6,2.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,08-04-2019,04:00:00,30.72,1005.59,1005.29,10.00,82,280,24.5,0.00,27.8,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.6,08-04-2019,04:00:00,25.05,1006.20,1005.71,10.00,69,300,21.1,0.00,27.3,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,18.5,08-04-2019,04:00:00,29.86,1006.22,1004.81,10.00,88,240,24.0,0.00,26.2,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,7.4,08-04-2019,04:00:00,28.52,1006.16,998.13,10.00,85,180,23.3,0.00,25.9,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-04-2019,04:00:00,33.29,1004.87,1004.58,10.00,88,000,25.8,0.00,28.1,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,7.4,08-04-2019,04:00:00,30.15,1005.03,1001.92,10.00,78,250,24.2,0.00,28.5,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,7.4,08-04-2019,04:00:00,30.84,1005.31,998.40,10.00,82,270,24.6,0.01,28.0,0.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.4,08-04-2019,04:00:00,26.99,1003.77,998.18,7.00,78,130,22.3,0.00,26.5,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,08-04-2019,04:00:00,29.07,1006.90,1005.63,6.00,94,350,23.6,0.30,24.6,0.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.7,08-04-2019,04:00:00,28.92,1005.28,1004.84,11.00,91,270,23.5,0.50,25.1,3.40
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,3.7,08-04-2019,04:00:00,28.78,1006.31,993.94,8.00,97,360,23.4,0.00,24.0,11.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,08-04-2019,04:00:00,31.11,1005.83,1005.11,10.00,93,000,24.7,0.00,26.0,7.50
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,08-04-2019,04:00:00,28.24,1005.64,1003.22,10.00,73,240,23.1,0.00,28.5,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,18.5,08-04-2019,04:00:00,31.94,1005.48,1004.96,10.00,81,270,25.1,0.00,28.7,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,08-04-2019,04:00:00,30.10,1005.39,1000.24,8.00,85,000,24.1,0.00,26.9,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-04-2019,04:00:00,32.35,1005.26,1004.85,7.00,93,000,25.4,4.20,26.5,7.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-04-2019,04:00:00,30.84,1006.02,1003.24,8.00,92,000,24.6,0.00,26.0,6.40
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-04-2019,04:00:00,28.97,1006.17,1005.38,10.00,86,000,23.5,0.00,26.0,11.40
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.0,08-04-2019,04:00:00,29.07,1006.25,1005.79,2.00,94,000,23.6,30.00,24.6,32.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.7,08-04-2019,04:00:00,29.60,1006.58,1005.90,8.00,81,250,23.9,0.00,27.5,17.90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.4,08-04-2019,04:00:00,27.39,1006.76,1005.24,8.00,74,270,22.6,0.40,27.6,29.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,5.6,08-04-2019,04:00:00,32.12,1007.89,1006.97,10.00,86,210,25.2,0.10,27.8,28.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-04-2019,04:00:00,32.52,1006.95,1006.26,10.00,86,000,25.4,0.00,28.0,3.70
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-04-2019,04:00:00,30.32,1007.60,1006.80,7.00,96,000,24.3,0.00,25.0,2.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-04-2019,04:00:00,29.50,1006.46,1005.82,10.00,88,000,23.8,0.00,26.0,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-04-2019,04:00:00,29.50,1007.34,1006.93,10.00,88,000,23.8,0.00,26.0,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-04-2019,04:00:00,29.10,1008.99,1004.77,6.00,83,000,23.6,0.00,26.8,9.80
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-04-2019,04:00:00,29.95,1007.68,1006.06,7.00,96,000,24.1,0.00,24.8,2.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-04-2019,04:00:00,30.32,1008.39,1004.89,6.00,96,000,24.3,0.00,25.0,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-04-2019,04:00:00,30.32,1008.16,1006.79,8.00,96,000,24.3,0.00,25.0,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,13.0,08-04-2019,04:00:00,31.29,1008.24,1007.36,10.00,79,240,24.8,0.00,28.8,0.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-04-2019,04:00:00,31.17,1008.03,1004.45,10.00,95,000,24.7,0.00,25.6,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-04-2019,04:00:00,30.31,1008.22,1007.79,10.00,79,000,24.3,0.00,28.3,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.7,08-04-2019,04:00:00,31.05,1007.59,1006.61,10.00,77,260,24.7,0.00,29.1,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,22.2,08-04-2019,04:00:00,31.89,1008.34,1007.53,10.00,79,260,25.1,0.00,29.1,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-04-2019,04:00:00,31.25,1008.46,1006.63,8.00,96,000,24.8,0.00,25.5,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,08-04-2019,04:00:00,29.60,1008.16,1007.41,9.00,87,000,23.9,0.00,26.2,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,08-04-2019,04:00:00,29.95,1008.23,1004.20,6.00,96,000,24.1,0.00,24.8,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-04-2019,04:00:00,30.98,1008.87,1008.19,10.00,95,000,24.6,0.00,25.5,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-04-2019,04:00:00,29.39,1009.43,1008.31,10.00,89,000,23.8,0.00,25.8,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-04-2019,04:00:00,28.62,1008.39,1005.44,10.00,95,000,23.3,0.00,24.2,0.00
