WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,StationPressure,AirTemperature,Rainfall24Hr,MinimumTemperature,Rainfall,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,WindDirection
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.3,08-01-2019,07:00:00,97,978.78,24.7,9.60,24.4,1.90,5.00,1006.43,0.0,30.30,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.8,08-01-2019,07:00:00,97,970.79,24.4,6.90,24.4,3.20,6.00,1004.46,0.0,29.49,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.4,08-01-2019,07:00:00,98,985.95,23.7,47.40,23.1,1.40,4.00,1004.59,0.0,28.77,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.7,08-01-2019,07:00:00,97,981.43,24.1,61.40,23.6,0.00,10.00,1004.36,0.0,29.22,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,08-01-2019,07:00:00,96,974.31,24.0,35.60,23.8,0.00,6.00,1004.34,0.0,28.53,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.3,08-01-2019,07:00:00,96,968.66,25.0,6.60,24.8,0.40,6.00,1004.20,0.0,30.32,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.6,08-01-2019,07:00:00,97,973.86,24.2,1.10,24.2,1.10,6.00,1003.68,3.7,29.13,140
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.5,08-01-2019,07:00:00,95,997.54,24.4,27.50,23.9,0.01,7.00,1004.89,0.0,28.97,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.0,08-01-2019,07:00:00,97,983.57,25.6,11.00,24.9,0.70,10.00,1003.48,0.0,31.71,000
48353,LOEI,เลย,เลย,17.45000,101.73333,23.4,08-01-2019,07:00:00,91,975.07,25.0,0.00,24.9,0.00,10.00,1003.78,0.0,28.74,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.7,08-01-2019,07:00:00,97,984.03,25.1,41.30,23.5,3.10,12.00,1004.26,0.0,31.04,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.0,08-01-2019,07:00:00,88,982.46,25.1,17.30,23.8,0.00,10.00,1004.24,0.0,28.14,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.2,08-01-2019,07:00:00,96,984.08,24.9,8.20,23.9,0.20,10.00,1003.62,0.0,30.13,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.0,08-01-2019,07:00:00,94,987.41,25.0,4.00,24.5,3.70,7.00,1004.21,0.0,29.79,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,08-01-2019,07:00:00,96,986.97,25.0,30.40,22.8,1.60,8.00,1004.44,0.0,30.32,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.9,08-01-2019,07:00:00,95,977.60,24.8,8.50,24.4,4.80,10.00,1003.46,0.0,29.69,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.9,08-01-2019,07:00:00,92,998.49,26.3,0.00,24.2,0.00,10.00,1004.27,7.4,31.41,120
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.7,08-01-2019,07:00:00,94,998.70,25.7,0.00,25.5,0.00,12.00,1004.90,0.0,31.08,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.8,08-01-2019,07:00:00,91,988.49,24.4,16.60,23.5,0.01,8.00,1005.03,7.4,27.69,180
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.8,08-01-2019,07:00:00,96,982.45,23.5,21.60,23.0,0.20,10.00,1004.97,0.0,27.66,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.0,08-01-2019,07:00:00,75,990.95,26.9,5.00,24.7,0.00,8.00,1005.31,9.3,26.40,270
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.0,08-01-2019,07:00:00,73,988.12,27.4,0.00,26.8,0.00,8.00,1004.44,0.0,26.51,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.6,08-01-2019,07:00:00,90,1000.30,25.4,0.01,24.6,0.00,10.00,1005.54,3.7,29.19,180
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.1,08-01-2019,07:00:00,93,990.50,24.3,11.50,23.5,1.00,10.00,1003.77,0.0,28.28,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.8,08-01-2019,07:00:00,92,995.79,25.1,5.60,24.5,0.00,10.00,1005.15,0.0,29.44,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.7,08-01-2019,07:00:00,95,982.25,24.6,7.00,24.2,0.00,10.00,1004.04,5.6,29.33,210
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.4,08-01-2019,07:00:00,90,987.03,25.2,7.00,24.5,0.00,10.00,1004.59,9.3,28.83,240
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.8,08-01-2019,07:00:00,96,987.68,24.5,48.00,23.9,1.60,10.00,1003.58,0.0,29.41,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.6,08-01-2019,07:00:00,92,984.43,25.1,1.20,24.6,0.00,8.00,1003.36,5.6,29.18,190
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,20.8,08-01-2019,07:00:00,93,954.19,22.0,14.30,21.0,1.00,7.00,1005.98,0.0,24.50,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,23.6,08-01-2019,07:00:00,95,1001.29,24.5,2.90,24.2,0.50,8.00,1005.28,0.0,29.15,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.9,08-01-2019,07:00:00,98,910.56,20.2,31.20,19.4,0.40,.50,1005.95,16.7,23.20,210
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.0,08-01-2019,07:00:00,97,988.18,24.6,31.10,23.8,9.50,8.00,1004.25,0.0,29.85,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.5,08-01-2019,07:00:00,97,1000.71,24.9,2.20,24.4,0.70,8.00,1004.76,0.0,30.67,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,22.5,08-01-2019,07:00:00,91,995.80,24.0,8.20,23.4,3.80,9.00,1006.57,0.0,27.25,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,22.5,08-01-2019,07:00:00,84,1003.96,25.5,1.20,25.3,0.00,9.00,1005.90,3.7,27.29,190
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,21.8,08-01-2019,07:00:00,86,984.20,24.2,2.70,24.1,0.00,10.00,1005.21,5.6,26.09,250
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.3,08-01-2019,07:00:00,87,986.49,24.5,8.00,24.0,2.20,10.00,1004.25,18.5,26.84,220
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.8,08-01-2019,07:00:00,95,987.50,24.7,17.50,24.5,1.70,10.00,1003.73,7.4,29.51,210
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.4,08-01-2019,07:00:00,85,990.69,25.1,2.10,24.4,0.00,10.00,1004.78,5.6,27.11,250
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.2,08-01-2019,07:00:00,91,990.56,24.8,2.10,23.9,0.00,9.00,1005.47,0.0,28.38,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.0,08-01-2019,07:00:00,91,991.12,24.6,7.20,24.0,0.00,7.00,1005.89,0.0,28.03,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.5,08-01-2019,07:00:00,85,1001.91,26.1,0.20,24.9,0.00,10.00,1004.93,0.0,28.88,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,22.6,08-01-2019,07:00:00,89,997.66,24.5,3.60,24.0,0.20,10.00,1005.66,0.0,27.35,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,22.2,08-01-2019,07:00:00,79,1004.82,26.1,0.00,25.5,0.00,7.00,1005.93,11.1,26.80,220
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.3,08-01-2019,07:00:00,87,990.00,26.6,15.10,24.8,0.00,9.00,1004.67,3.7,30.34,100
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.1,08-01-2019,07:00:00,99,872.36,18.3,18.80,16.8,0.30,.10,1007.99,13.0,20.80,280
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.2,08-01-2019,07:00:00,95,999.93,24.1,5.90,23.3,1.80,10.00,1005.86,0.0,28.44,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,21.3,08-01-2019,07:00:00,67,1005.42,28.0,0.00,26.5,0.00,9.00,1006.22,5.6,25.24,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.4,08-01-2019,07:00:00,74,1006.11,28.5,0.00,27.0,0.00,10.00,1006.55,11.1,28.78,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.3,08-01-2019,07:00:00,96,995.86,24.0,14.70,23.6,0.90,4.00,1007.28,0.0,28.53,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,22.2,08-01-2019,07:00:00,78,1005.08,26.4,0.00,25.8,0.00,10.00,1006.09,13.0,26.81,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.1,08-01-2019,07:00:00,85,1004.10,25.9,0.20,25.5,0.20,8.00,1005.92,0.0,28.26,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.2,08-01-2019,07:00:00,85,1006.11,26.0,0.01,23.8,0.00,7.00,1006.88,0.0,28.44,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.8,08-01-2019,07:00:00,79,1006.28,26.8,2.20,25.0,0.00,9.00,1006.98,5.6,27.78,230
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.4,08-01-2019,07:00:00,85,1005.83,26.0,4.30,25.4,0.10,7.00,1006.54,0.0,28.70,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.8,08-01-2019,07:00:00,91,984.32,24.4,2.70,23.8,0.70,8.00,1005.62,0.0,27.69,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.8,08-01-2019,07:00:00,88,988.58,24.9,18.30,23.4,0.00,7.00,1005.39,0.0,27.79,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,22.7,08-01-2019,07:00:00,91,989.27,24.3,21.00,23.0,0.00,9.00,1005.83,5.6,27.51,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,21.7,08-01-2019,07:00:00,80,983.46,25.5,2.90,25.2,0.00,10.00,1005.38,0.0,26.02,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.1,08-01-2019,07:00:00,74,962.48,25.0,1.10,24.0,0.00,10.00,1005.96,18.5,23.48,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,20.7,08-01-2019,07:00:00,73,984.79,26.0,0.20,25.6,0.00,10.00,1005.38,0.0,24.37,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.4,08-01-2019,07:00:00,94,985.69,24.4,8.00,23.5,0.00,8.00,1006.68,11.1,28.71,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.6,08-01-2019,07:00:00,80,1006.53,27.4,0.01,25.5,0.00,10.00,1006.96,7.4,29.15,240
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.2,08-01-2019,07:00:00,94,1004.91,25.2,0.80,24.5,0.00,6.00,1006.34,0.0,30.15,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,23.6,08-01-2019,07:00:00,92,1001.66,24.9,0.10,24.7,0.00,8.00,1006.63,0.0,29.08,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.2,08-01-2019,07:00:00,79,1003.14,26.1,0.30,24.4,0.00,12.00,1006.44,0.0,26.80,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.2,08-01-2019,07:00:00,90,1005.69,25.0,0.70,24.7,0.00,10.00,1006.80,0.0,28.48,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.1,08-01-2019,07:00:00,77,1006.62,27.5,0.30,26.7,0.00,10.00,1006.92,5.6,28.26,230
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,23.6,08-01-2019,07:00:00,79,1007.25,27.5,0.50,27.0,0.50,10.00,1007.94,0.0,29.06,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,22.9,08-01-2019,07:00:00,77,1006.12,27.3,0.40,26.7,0.00,10.00,1006.61,0.0,27.90,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,21.9,08-01-2019,07:00:00,73,1005.38,27.3,0.40,26.3,0.00,10.00,1006.79,11.1,26.33,190
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,23.4,08-01-2019,07:00:00,73,1005.17,28.8,5.70,27.1,0.00,10.00,1006.84,16.7,28.81,230
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.3,08-01-2019,07:00:00,93,1000.88,24.5,2.50,23.9,0.00,10.00,1008.97,0.0,28.63,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.3,08-01-2019,07:00:00,87,1006.80,27.7,2.30,25.0,0.00,6.00,1007.09,0.0,32.20,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.2,08-01-2019,07:00:00,71,1003.03,29.0,0.00,28.0,0.00,10.00,1006.14,5.6,28.37,200
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.6,08-01-2019,07:00:00,77,1001.75,28.1,0.80,24.9,0.00,10.00,1008.67,13.0,29.11,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.3,08-01-2019,07:00:00,90,1001.48,26.0,0.00,25.0,0.00,8.00,1007.10,0.0,30.30,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,23.8,08-01-2019,07:00:00,78,998.60,28.0,2.00,25.0,2.00,10.00,1007.88,18.5,29.46,270
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.3,08-01-2019,07:00:00,88,1006.32,25.5,0.01,24.6,0.00,12.00,1007.59,7.4,28.59,180
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.1,08-01-2019,07:00:00,81,1007.02,26.6,0.90,24.6,0.00,11.00,1007.45,5.6,28.21,240
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.2,08-01-2019,07:00:00,94,995.34,24.2,3.20,24.1,0.30,8.00,1007.72,3.7,28.36,330
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.2,08-01-2019,07:00:00,86,1006.70,26.7,0.70,25.1,0.10,10.00,1007.42,0.0,30.26,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.1,08-01-2019,07:00:00,73,1005.17,28.5,10.30,24.4,0.00,8.00,1007.59,3.7,28.24,240
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.6,08-01-2019,07:00:00,80,1012.86,28.5,12.50,24.5,0.00,9.00,1013.38,9.3,30.98,300
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.1,08-01-2019,07:00:00,85,1001.87,26.9,16.80,24.0,0.00,10.00,1007.02,0.0,30.10,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.1,08-01-2019,07:00:00,95,1007.49,25.0,21.90,24.1,0.00,7.00,1007.91,0.0,30.05,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.1,08-01-2019,07:00:00,95,1005.15,26.0,32.60,23.5,0.00,8.00,1007.93,0.0,31.93,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.7,08-01-2019,07:00:00,89,1007.50,25.7,10.10,24.0,0.00,10.00,1008.29,3.7,29.21,180
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.5,08-01-2019,07:00:00,87,1007.53,26.8,23.20,24.2,0.00,6.00,1007.99,5.6,30.72,280
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.7,08-01-2019,07:00:00,86,1007.69,26.2,0.01,25.7,0.00,8.00,1008.37,3.7,29.33,200
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.2,08-01-2019,07:00:00,77,1006.62,27.6,0.00,26.0,0.00,8.00,1008.15,3.7,28.45,230
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.8,08-01-2019,07:00:00,79,1008.81,27.7,0.00,27.6,0.00,10.00,1009.73,5.6,29.44,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,23.6,08-01-2019,07:00:00,81,1007.55,27.2,0.00,23.4,0.00,10.00,1008.23,0.0,29.04,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.1,08-01-2019,07:00:00,95,1008.97,25.0,0.00,24.2,0.00,8.00,1009.77,0.0,30.05,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.5,08-01-2019,07:00:00,92,1009.47,25.0,0.00,24.2,0.00,10.00,1010.12,0.0,29.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.7,08-01-2019,07:00:00,92,1009.42,25.0,0.00,24.7,0.00,10.00,1009.83,0.0,29.26,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.9,08-01-2019,07:00:00,85,1006.83,25.7,0.00,25.2,0.00,6.00,1011.07,0.0,27.90,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.9,08-01-2019,07:00:00,98,1007.67,24.2,0.00,23.5,0.00,10.00,1009.30,0.0,29.66,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.3,08-01-2019,07:00:00,97,1006.81,23.9,0.00,23.9,0.00,8.00,1010.33,0.0,28.61,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.6,08-01-2019,07:00:00,96,1008.18,25.3,0.00,24.8,0.00,8.00,1009.55,0.0,30.87,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.1,08-01-2019,07:00:00,84,1008.32,28.1,4.60,27.6,0.00,10.00,1009.20,13.0,31.87,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.9,08-01-2019,07:00:00,92,1005.56,25.2,0.00,24.2,0.00,10.00,1009.15,0.0,29.62,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.9,08-01-2019,07:00:00,74,1009.27,29.0,0.00,28.0,0.00,10.00,1009.70,0.0,29.74,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.7,08-01-2019,07:00:00,74,1008.52,29.8,0.00,27.2,0.00,9.00,1009.51,7.4,31.03,290
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.5,08-01-2019,07:00:00,75,1009.35,29.4,0.00,25.0,0.00,10.00,1010.16,27.8,30.80,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.3,08-01-2019,07:00:00,94,1008.43,25.3,0.00,24.7,0.00,8.00,1010.26,0.0,30.34,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.0,08-01-2019,07:00:00,82,1009.41,26.4,0.00,25.6,0.00,11.00,1010.17,3.7,28.11,170
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.7,08-01-2019,07:00:00,93,1006.17,24.9,0.00,22.9,0.00,10.00,1010.20,0.0,29.34,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.2,08-01-2019,07:00:00,92,1009.32,25.7,0.00,23.8,0.00,10.00,1010.01,0.0,30.28,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.9,08-01-2019,07:00:00,95,1008.67,24.8,0.00,24.2,0.00,10.00,1009.79,0.0,29.69,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.8,08-01-2019,07:00:00,97,1007.31,24.2,0.00,22.5,0.00,10.00,1010.26,0.0,29.39,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.1,08-01-2019,07:00:00,88,1006.80,25.3,0.00,25.0,0.00,7.00,1010.96,11.1,28.23,270
