WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,MeanSeaLevelPressure,StationPressure,DewPoint,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,95,10-04-2019,22:00:00,25.1,1010.92,993.08,24.2,30.23,0.00,10.00,0.00,5.6,340
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,95,10-04-2019,22:00:00,25.2,1010.97,994.65,24.3,30.42,0.00,10.00,0.00,5.6,010
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,74,10-04-2019,22:00:00,27.0,1011.69,997.59,21.9,26.32,0.00,10.00,0.50,9.3,100
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,88,10-04-2019,22:00:00,26.5,1012.26,997.33,24.3,30.43,2.00,7.00,2.00,0.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,94,10-04-2019,22:00:00,27.3,1011.10,996.38,26.2,33.95,0.00,10.00,0.00,0.0,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,75,10-04-2019,22:00:00,28.6,1010.81,1007.79,23.7,29.24,0.00,10.00,0.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,78,10-04-2019,22:00:00,27.8,1011.35,1003.38,23.6,29.09,0.00,8.00,0.00,0.0,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,85,10-04-2019,22:00:00,26.7,1011.10,1009.98,23.9,29.72,0.00,7.00,0.00,3.7,170
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,87,10-04-2019,22:00:00,27.2,1011.00,996.27,24.8,31.22,0.00,8.00,0.00,0.0,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,10-04-2019,22:00:00,18.6,1013.65,877.39,18.4,21.19,0.00,8.00,40.40,0.0,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,83,10-04-2019,22:00:00,26.8,1011.94,1006.03,23.7,29.37,0.00,8.00,0.00,0.0,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,92,10-04-2019,22:00:00,26.0,1011.08,1010.27,24.6,30.84,0.00,8.00,31.40,1.9,080
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,85,10-04-2019,22:00:00,27.4,1010.78,1010.33,24.7,31.05,0.00,9.00,3.40,9.3,120
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,92,10-04-2019,22:00:00,25.6,1012.12,1000.71,24.1,30.09,0.00,6.00,0.40,0.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,72,10-04-2019,22:00:00,28.3,1011.28,1010.26,22.7,27.61,0.00,6.00,0.00,3.7,310
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,78,10-04-2019,22:00:00,27.1,1011.17,1009.34,23.0,28.06,0.00,7.00,0.00,0.0,000
