WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,WindDirection,LandVisibility,DewPoint,Rainfall24Hr,VaporPressure
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-19-2019,22:00:00,29.8,1006.96,5.6,73,990.40,220,8.00,24.4,0.00,30.47
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-19-2019,22:00:00,29.0,1007.49,3.7,77,991.16,180,6.00,24.6,0.00,30.85
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.40,08-19-2019,22:00:00,26.0,1008.67,3.7,80,986.71,260,10.00,22.3,0.40,26.88
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.00,08-19-2019,22:00:00,23.7,1009.87,7.4,94,966.04,150,8.00,22.7,11.00,27.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-19-2019,22:00:00,29.9,1007.34,5.6,69,986.97,210,10.00,23.5,0.00,29.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-19-2019,22:00:00,29.1,1008.54,9.3,70,987.84,250,9.00,23.1,0.00,28.29
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-19-2019,22:00:00,29.6,1007.80,3.7,83,1007.37,240,10.00,26.4,0.00,34.37
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-19-2019,22:00:00,28.4,1006.87,0.0,86,1005.46,000,6.00,25.9,0.00,33.33
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-19-2019,22:00:00,28.1,1008.21,0.0,84,1003.29,000,7.00,25.1,0.00,31.87
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-19-2019,22:00:00,27.1,1009.36,0.0,87,1006.06,000,10.00,24.8,0.40,31.30
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-19-2019,22:00:00,26.8,1009.09,0.0,90,1007.98,000,10.00,24.9,0.00,31.55
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-19-2019,22:00:00,30.2,1009.17,5.6,77,1008.87,220,10.00,25.7,0.01,33.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-19-2019,22:00:00,29.7,1009.31,0.0,79,1008.82,000,10.00,25.8,0.00,33.12
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.40,08-19-2019,22:00:00,28.7,1008.95,11.1,78,1007.55,270,1.00,24.4,4.60,30.54
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-19-2019,22:00:00,28.0,1010.51,0.0,81,1002.50,000,10.00,24.4,0.00,30.56
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-19-2019,22:00:00,30.3,1008.43,0.0,74,1008.15,000,10.00,25.0,0.00,31.76
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-19-2019,22:00:00,29.5,1008.44,5.6,79,1005.33,200,10.00,25.5,0.00,32.71
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-19-2019,22:00:00,28.9,1008.71,5.6,85,1001.80,180,10.00,26.1,0.00,33.78
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-19-2019,22:00:00,29.0,1008.07,0.0,80,1002.51,000,8.00,25.2,0.00,31.98
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-19-2019,22:00:00,28.0,1009.58,3.7,82,1008.32,320,10.00,24.6,0.00,30.84
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-19-2019,22:00:00,29.3,1008.58,0.0,80,1008.15,000,11.00,25.5,0.00,32.59
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-19-2019,22:00:00,27.3,1009.27,0.0,79,997.00,000,8.00,23.4,0.00,28.69
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-19-2019,22:00:00,28.5,1008.74,0.0,78,1008.03,000,10.00,24.3,0.00,30.42
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-19-2019,22:00:00,29.7,1009.15,7.4,72,1006.73,230,10.00,24.1,0.00,29.99
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-19-2019,22:00:00,29.3,1009.25,9.3,83,1008.73,220,10.00,26.1,0.00,33.74
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-19-2019,22:00:00,29.4,1008.88,0.0,79,1003.75,000,11.00,25.3,0.00,32.22
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-19-2019,22:00:00,28.4,1008.91,0.0,84,1008.50,000,7.00,25.4,0.00,32.47
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-19-2019,22:00:00,26.9,1009.36,0.0,90,1006.58,000,8.00,25.0,0.00,31.74
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-19-2019,22:00:00,27.6,1010.00,7.4,80,1009.22,240,10.00,23.8,0.30,29.52
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-19-2019,22:00:00,26.5,1009.21,5.6,92,1008.75,110,7.00,25.1,0.00,31.79
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-19-2019,22:00:00,28.0,1009.83,7.4,80,1009.15,260,10.00,24.3,0.00,30.28
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-19-2019,22:00:00,27.4,1009.78,3.7,81,1008.25,250,8.00,23.9,0.00,29.69
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-19-2019,22:00:00,27.2,1011.41,0.0,81,1010.49,000,10.00,23.7,0.00,29.31
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-19-2019,22:00:00,30.1,1009.92,11.1,66,1009.24,270,10.00,23.1,0.00,28.28
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-19-2019,22:00:00,26.2,1010.74,0.0,79,1009.94,000,10.00,22.3,0.00,26.98
