WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,WindSpeed,VaporPressure,Rainfall,DewPoint,MaximumTemperature,AirTemperature,StationPressure,RelativeHumidity,WindDirection,Rainfall24Hr
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.30,07-23-2019,19:00:00,7.00,7.4,36.14,0.60,27.2,35.1,30.0,988.08,85,210,29.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1003.85,07-23-2019,19:00:00,10.00,0.0,27.00,0.00,22.3,35.2,32.0,982.42,57,000,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.07,07-23-2019,19:00:00,15.00,5.6,28.54,0.00,23.3,32.5,28.8,962.17,72,230,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.02,07-23-2019,19:00:00,10.00,5.6,28.09,0.20,23.0,35.2,31.0,983.79,63,250,0.60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1004.88,07-23-2019,19:00:00,9.00,9.3,30.00,0.00,24.1,35.5,31.4,984.41,65,220,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.33,07-23-2019,19:00:00,10.00,11.1,27.13,0.00,22.4,35.9,32.5,1004.91,55,290,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.37,07-23-2019,19:00:00,8.00,5.6,33.80,0.00,26.1,34.0,30.3,1003.97,78,270,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.90,07-23-2019,19:00:00,8.00,0.0,33.42,0.00,25.9,34.0,30.4,1000.04,77,000,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.36,07-23-2019,19:00:00,12.00,0.0,29.07,0.00,23.6,36.9,31.5,1002.12,63,000,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.67,07-23-2019,19:00:00,7.00,0.0,32.94,3.60,25.7,37.5,26.8,1004.56,94,000,7.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.85,07-23-2019,19:00:00,8.00,0.0,27.54,19.20,22.7,34.7,25.2,1005.55,86,000,19.20
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.76,07-23-2019,19:00:00,8.00,0.0,29.66,5.20,23.9,35.1,25.8,1005.07,89,000,5.20
