WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,RelativeHumidity,WindDirection,DewPoint,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,VaporPressure,StationPressure
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,10-17-2019,10:00:00,1012.88,73,060,23.4,0.00,28.6,5.6,0.00,28.70,1011.46
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,9.00,10-17-2019,10:00:00,1013.09,65,000,23.8,0.00,31.1,0.0,0.00,29.40,1008.20
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,10-17-2019,10:00:00,1013.45,63,030,23.0,0.00,31.0,9.3,0.00,28.09,1010.18
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,10-17-2019,10:00:00,1014.54,66,010,23.8,0.00,31.0,3.7,0.00,29.48,1013.44
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,10-17-2019,10:00:00,1012.97,65,050,24.3,0.00,31.7,9.3,0.00,30.32,1012.67
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,10-17-2019,10:00:00,1012.60,61,120,24.6,0.00,33.1,7.4,0.00,30.90,1011.92
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,10-17-2019,10:00:00,1012.30,70,000,24.3,0.00,30.5,0.0,0.00,30.46,1011.81
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,10-17-2019,10:00:00,1013.54,67,280,24.0,0.00,30.9,7.4,0.00,29.85,1012.14
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,10-17-2019,10:00:00,1013.32,73,050,24.4,0.00,29.8,25.9,0.00,30.47,1011.64
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,12.00,10-17-2019,10:00:00,1015.58,70,050,23.1,0.00,29.2,5.6,0.00,28.21,1007.57
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,10-17-2019,10:00:00,1012.68,66,070,24.4,0.00,31.5,14.8,0.00,30.49,1012.39
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,12.00,10-17-2019,10:00:00,1011.56,69,270,25.1,0.00,31.5,5.6,0.00,31.93,1008.46
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,10-17-2019,10:00:00,1012.37,67,060,23.6,0.00,30.4,13.0,0.00,29.14,1005.47
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,10-17-2019,10:00:00,1013.40,69,060,24.6,0.00,31.0,14.8,4.50,30.90,1007.84
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,10-17-2019,10:00:00,1013.64,67,110,24.7,0.00,31.5,22.2,0.00,31.06,1004.40
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,12.00,10-17-2019,10:00:00,1013.34,75,040,24.7,0.00,29.6,14.8,1.00,31.20,1012.08
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,10-17-2019,10:00:00,1013.06,74,020,25.0,0.00,30.1,11.1,0.00,31.64,1012.63
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,4.00,10-17-2019,10:00:00,1013.62,87,040,24.5,0.00,27.0,3.7,0.10,30.83,1001.29
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,8.00,10-17-2019,10:00:00,1013.10,88,330,26.2,4.90,28.5,7.4,10.40,34.11,1012.38
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,10-17-2019,10:00:00,1012.92,66,060,24.9,0.00,32.0,7.4,1.00,31.52,1010.51
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.00,10-17-2019,10:00:00,1012.24,66,170,24.4,0.00,31.5,5.6,0.01,30.49,1011.72
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,16.00,10-17-2019,10:00:00,1012.24,67,070,23.1,0.00,29.8,9.3,0.40,28.26,1007.11
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10.00,10-17-2019,10:00:00,1012.63,70,050,24.1,0.00,30.3,11.1,0.00,30.06,1012.22
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10.00,10-17-2019,10:00:00,1012.64,57,180,22.5,0.00,32.0,7.4,0.00,27.27,1009.90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,8.00,10-17-2019,10:00:00,1011.11,94,220,23.5,0.30,24.5,3.7,37.10,28.89,1010.32
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.00,10-17-2019,10:00:00,1011.42,57,060,22.7,0.00,32.3,5.6,5.80,27.58,1010.97
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,6.00,10-17-2019,10:00:00,1014.04,94,150,24.0,3.20,25.0,3.7,23.90,29.79,1013.35
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,10-17-2019,10:00:00,1014.18,95,100,23.3,8.60,24.2,11.1,10.20,28.62,1012.63
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.00,10-17-2019,10:00:00,1013.19,78,080,23.2,0.20,27.4,7.4,0.60,28.35,1012.27
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,8.00,10-17-2019,10:00:00,1012.21,98,020,25.9,12.40,26.3,5.6,23.80,33.35,1011.51
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,6.00,10-17-2019,10:00:00,1011.90,97,000,23.4,11.40,24.0,0.0,19.70,28.78,1011.09
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,10-17-2019,10:00:00,1011.71,98,280,25.3,2.20,25.6,5.6,19.90,32.26,1011.07
