WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,LandVisibility,WindSpeed,VaporPressure,Rainfall,StationPressure,MeanSeaLevelPressure,AirTemperature,MaximumTemperature,WindDirection
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-30-2019,19:00:00,57,21.4,11.00,9.3,25.47,0.00,1002.48,1005.72,30.9,33.4,250
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-30-2019,19:00:00,59,21.7,10.00,3.7,25.98,0.00,1004.46,1005.55,30.6,34.5,290
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-30-2019,19:00:00,53,21.4,10.00,9.3,25.47,0.00,1005.24,1005.53,32.2,35.3,210
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-30-2019,19:00:00,58,22.0,10.00,7.4,26.48,0.00,1004.70,1005.38,31.3,34.5,230
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-30-2019,19:00:00,53,21.2,10.00,3.7,25.10,0.00,1005.33,1005.81,32.0,34.6,120
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-30-2019,19:00:00,53,21.4,10.00,20.4,25.47,0.00,1003.37,1004.76,32.2,34.3,260
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-30-2019,19:00:00,77,26.2,10.00,22.2,33.98,0.00,1004.16,1005.82,30.8,32.8,220
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-30-2019,19:00:00,57,21.5,10.00,0.0,25.65,0.00,999.06,1006.95,31.0,33.7,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-30-2019,19:00:00,74,26.0,10.00,7.4,33.65,0.00,1005.04,1005.32,31.2,34.4,230
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-30-2019,19:00:00,75,25.0,10.00,5.6,31.72,0.00,1002.78,1005.87,30.0,32.5,230
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-30-2019,19:00:00,73,24.8,10.00,0.0,31.35,0.00,998.73,1005.59,30.1,32.9,000
