WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,DewPoint,StationPressure,Rainfall,WindSpeed,VaporPressure,LandVisibility,AirTemperature
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,160,08-19-2019,13:00:00,0.00,1006.63,62,25.6,999.50,0.00,11.1,32.84,10.00,34.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,220,08-19-2019,13:00:00,0.00,1004.91,64,26.0,985.50,0.00,11.1,33.61,17.00,33.8
48353,LOEI,เลย,เลย,17.45000,101.73333,340,08-19-2019,13:00:00,0.00,1005.39,54,22.1,977.36,0.00,5.6,26.61,15.00,32.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,250,08-19-2019,13:00:00,1.60,1005.73,59,24.0,986.00,0.00,14.8,29.74,15.00,33.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,230,08-19-2019,13:00:00,8.30,1006.30,63,24.9,985.01,0.00,11.1,31.44,15.00,32.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,220,08-19-2019,13:00:00,7.60,1005.29,66,24.9,986.17,0.00,5.6,31.44,15.00,32.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-19-2019,13:00:00,8.00,1005.93,65,24.6,989.48,0.00,0.0,30.94,13.00,32.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,270,08-19-2019,13:00:00,1.40,1006.07,62,24.4,989.00,0.00,9.3,30.53,12.00,32.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,200,08-19-2019,13:00:00,0.00,1004.92,60,23.9,979.68,0.00,5.6,29.58,13.00,32.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,260,08-19-2019,13:00:00,0.00,1006.49,61,25.0,1000.83,0.00,7.4,31.75,10.00,33.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,240,08-19-2019,13:00:00,0.00,1007.02,63,25.0,1000.94,0.00,11.1,31.66,10.00,32.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,180,08-19-2019,13:00:00,1.50,1007.68,65,23.7,991.46,0.00,9.3,29.32,10.00,31.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-19-2019,13:00:00,8.50,1007.87,88,25.4,985.58,3.20,0.0,32.36,10.00,27.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,270,08-19-2019,13:00:00,0.60,1008.16,64,22.6,993.91,0.00,11.1,27.39,8.00,30.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-19-2019,13:00:00,0.00,1007.83,66,24.4,991.68,0.00,0.0,30.49,12.00,31.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,08-19-2019,13:00:00,0.90,1007.51,69,25.1,1002.36,0.00,0.0,31.85,10.00,31.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-19-2019,13:00:00,1.70,1006.26,78,26.2,993.22,1.50,0.0,33.93,12.00,30.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,330,08-19-2019,13:00:00,3.10,1007.53,69,25.1,998.34,0.00,3.7,31.85,10.00,31.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,270,08-19-2019,13:00:00,0.01,1005.69,52,23.2,984.55,0.00,9.3,28.39,12.00,34.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,240,08-19-2019,13:00:00,0.00,1006.35,51,23.0,989.29,0.00,3.7,28.02,10.00,34.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,240,08-19-2019,13:00:00,0.00,1004.97,61,24.5,989.48,0.00,5.6,30.82,13.00,33.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,08-19-2019,13:00:00,0.00,1004.98,54,23.8,986.59,0.00,0.0,29.46,10.00,34.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-19-2019,13:00:00,1.20,1008.91,72,22.0,957.90,0.00,0.0,26.43,11.00,27.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,08-19-2019,13:00:00,0.10,1007.31,61,24.6,1003.43,0.00,0.0,30.90,10.00,33.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,250,08-19-2019,13:00:00,4.10,1009.01,97,21.6,913.91,0.70,11.1,25.85,.40,22.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,210,08-19-2019,13:00:00,3.70,1006.03,67,26.1,990.38,0.00,5.6,33.88,10.00,33.1
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-19-2019,13:00:00,4.80,1007.46,58,24.2,1003.51,0.00,0.0,30.20,10.00,33.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,320,08-19-2019,13:00:00,0.00,1008.19,54,22.9,997.73,0.00,9.3,27.99,10.00,33.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,180,08-19-2019,13:00:00,0.00,1007.80,58,24.2,1005.91,0.00,5.6,30.20,12.00,33.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,240,08-19-2019,13:00:00,0.00,1006.47,52,21.4,986.00,0.00,11.1,25.49,10.00,32.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,250,08-19-2019,13:00:00,0.00,1005.78,59,23.8,988.48,0.00,9.3,29.54,10.00,33.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,220,08-19-2019,13:00:00,0.00,1005.67,56,24.0,989.90,0.00,9.3,29.87,10.00,34.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,230,08-19-2019,13:00:00,0.00,1006.44,61,24.5,992.69,0.00,9.3,30.69,10.00,33.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,240,08-19-2019,13:00:00,0.00,1006.78,62,25.3,992.28,0.00,3.7,32.18,10.00,33.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,270,08-19-2019,13:00:00,1.50,1007.68,61,25.2,993.32,0.00,13.0,31.97,10.00,33.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-19-2019,13:00:00,0.00,1007.27,52,23.4,1004.33,0.00,0.0,28.84,10.00,34.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-19-2019,13:00:00,0.01,1007.31,62,24.3,999.50,0.00,0.0,30.44,10.00,32.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,230,08-19-2019,13:00:00,0.00,1009.01,64,25.1,1007.92,0.00,13.0,31.82,8.00,32.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-19-2019,13:00:00,0.00,1006.44,57,24.6,992.12,0.00,0.0,30.93,8.00,34.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,270,08-19-2019,13:00:00,0.20,1005.97,70,20.1,873.76,0.00,13.0,23.47,8.00,25.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,180,08-19-2019,13:00:00,0.00,1007.25,62,24.6,1001.48,0.00,5.6,30.86,10.00,32.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,240,08-19-2019,13:00:00,0.00,1008.70,52,24.2,1007.92,0.00,16.7,30.10,10.00,35.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-19-2019,13:00:00,0.00,1008.27,60,23.6,1007.84,0.00,14.8,29.18,10.00,32.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-19-2019,13:00:00,2.00,1009.06,75,25.0,997.84,1.80,0.0,31.72,5.00,30.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,170,08-19-2019,13:00:00,0.00,1007.91,60,24.7,1006.92,0.00,7.4,31.16,12.00,33.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,230,08-19-2019,13:00:00,0.00,1007.10,61,24.0,1005.30,0.00,3.7,29.75,8.00,32.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-19-2019,13:00:00,0.00,1007.65,58,22.6,1006.89,0.00,0.0,27.35,9.00,31.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,230,08-19-2019,13:00:00,0.00,1008.13,58,22.9,1007.44,0.00,11.1,27.85,10.00,32.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,280,08-19-2019,13:00:00,0.90,1007.36,55,24.7,1006.68,0.00,7.4,31.03,12.00,35.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,260,08-19-2019,13:00:00,0.00,1006.94,59,23.2,986.15,0.00,7.4,28.50,10.00,32.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,230,08-19-2019,13:00:00,3.00,1007.31,58,23.5,990.90,0.00,11.1,28.93,12.00,32.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,230,08-19-2019,13:00:00,4.30,1007.73,62,24.0,991.57,0.00,5.6,29.83,12.00,32.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,310,08-19-2019,13:00:00,0.01,1006.55,49,22.0,985.22,0.00,18.5,26.49,10.00,34.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,250,08-19-2019,13:00:00,0.01,1007.88,68,22.6,964.90,0.00,18.5,27.48,10.00,29.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,280,08-19-2019,13:00:00,0.40,1006.64,51,23.0,986.59,0.00,24.1,28.02,10.00,34.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,270,08-19-2019,13:00:00,0.00,1008.69,67,25.5,988.20,0.00,13.0,32.66,10.00,32.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,200,08-19-2019,13:00:00,0.00,1007.70,56,23.6,1007.28,0.00,11.1,29.04,10.00,33.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-19-2019,13:00:00,0.00,1007.89,58,24.4,1006.50,0.00,0.0,30.62,11.00,33.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,210,08-19-2019,13:00:00,0.00,1007.34,67,26.4,1002.51,0.00,5.6,34.47,9.00,33.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,250,08-19-2019,13:00:00,0.01,1007.95,58,24.2,1004.73,0.00,7.4,30.20,12.00,33.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,270,08-19-2019,13:00:00,0.00,1008.03,61,24.7,1006.94,0.00,3.7,31.03,10.00,33.3
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,210,08-19-2019,13:00:00,0.00,1007.90,55,23.4,1007.60,0.00,11.1,28.76,10.00,33.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,220,08-19-2019,13:00:00,0.00,1007.65,52,22.6,1006.98,0.00,7.4,27.38,12.00,33.9
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,08-19-2019,13:00:00,0.00,1007.41,54,22.8,1006.93,0.00,0.0,27.67,10.00,33.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,250,08-19-2019,13:00:00,0.00,1008.09,56,23.6,1006.71,0.00,16.7,29.13,10.00,33.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-19-2019,13:00:00,0.00,1008.34,71,24.9,1006.68,0.00,14.8,31.43,10.00,30.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,180,08-19-2019,13:00:00,0.00,1009.50,51,22.4,1001.66,0.00,3.7,27.01,10.00,34.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,270,08-19-2019,13:00:00,0.00,1007.70,56,23.4,1007.42,0.00,9.3,28.84,10.00,33.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,08-19-2019,13:00:00,0.00,1008.20,61,23.7,1005.12,0.00,0.0,29.22,12.00,32.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,260,08-19-2019,13:00:00,0.00,1008.50,65,24.2,1001.65,0.00,7.4,30.20,10.00,31.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,320,08-19-2019,13:00:00,0.00,1007.28,55,24.1,1001.82,0.00,18.5,30.04,8.00,34.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,230,08-19-2019,13:00:00,0.00,1008.25,61,25.0,999.12,0.00,11.1,31.75,12.00,33.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,270,08-19-2019,13:00:00,0.00,1008.65,56,24.1,1007.42,0.00,11.1,30.08,15.00,34.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,160,08-19-2019,13:00:00,1.10,1007.80,60,25.7,1007.38,0.00,16.7,33.03,11.00,34.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-19-2019,13:00:00,0.00,1007.79,49,22.2,995.82,0.00,0.0,26.68,9.00,34.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,120,08-19-2019,13:00:00,0.00,1008.09,67,24.5,1007.39,0.00,11.1,30.65,12.00,31.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,220,08-19-2019,13:00:00,0.00,1009.05,55,23.4,1006.66,0.00,18.5,28.76,10.00,33.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,230,08-19-2019,13:00:00,0.00,1008.74,69,25.1,1008.22,0.00,14.8,31.93,12.00,31.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,220,08-19-2019,13:00:00,0.00,1007.93,57,23.3,1002.87,0.00,5.6,28.60,17.00,33.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,220,08-19-2019,13:00:00,0.00,1008.85,63,24.7,1008.45,0.00,11.1,31.15,10.00,32.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,290,08-19-2019,13:00:00,0.00,1009.14,68,24.8,1006.41,0.00,11.1,31.35,8.00,31.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,350,08-19-2019,13:00:00,0.00,1008.58,55,22.9,1007.81,0.00,7.4,27.84,10.00,33.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,250,08-19-2019,13:00:00,0.00,1008.67,79,26.8,1008.22,0.00,3.7,35.31,10.00,31.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,250,08-19-2019,13:00:00,0.00,1009.08,57,23.4,1008.41,0.00,7.4,28.80,10.00,33.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,300,08-19-2019,13:00:00,0.00,1008.96,57,23.4,1007.46,0.00,7.4,28.80,10.00,33.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,270,08-19-2019,13:00:00,0.00,1010.57,67,25.1,1009.67,0.00,11.1,31.81,10.00,32.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-19-2019,13:00:00,0.00,1009.61,45,21.6,1008.94,0.00,0.0,25.86,10.00,35.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,280,08-19-2019,13:00:00,0.00,1009.49,51,22.4,1008.71,0.00,7.4,27.01,10.00,34.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,260,08-19-2019,13:00:00,0.00,1009.39,42,20.7,1008.77,0.00,7.4,24.39,10.00,35.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,08-19-2019,13:00:00,0.00,1008.57,49,23.3,1008.18,0.00,0.0,28.68,10.00,35.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,240,08-19-2019,13:00:00,0.00,1011.42,47,21.9,1007.30,0.00,9.3,26.27,7.00,34.9
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,210,08-19-2019,13:00:00,0.00,1008.62,45,21.3,1007.05,0.00,5.6,25.24,10.00,34.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,270,08-19-2019,13:00:00,0.00,1009.79,53,23.1,1006.38,0.00,5.6,28.26,12.00,34.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,120,08-19-2019,13:00:00,0.00,1008.92,57,23.9,1007.59,0.00,5.6,29.70,12.00,33.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,270,08-19-2019,13:00:00,0.00,1010.51,64,23.7,1009.63,0.00,9.3,29.24,12.00,31.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-19-2019,13:00:00,0.00,1009.74,56,22.7,1006.24,0.00,0.0,27.61,10.00,32.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,140,08-19-2019,13:00:00,0.00,1009.90,58,23.9,1009.48,0.00,5.6,29.66,10.00,33.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,260,08-19-2019,13:00:00,0.00,1010.09,64,23.7,1009.10,0.00,11.1,29.24,10.00,31.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,240,08-19-2019,13:00:00,0.00,1010.30,72,25.8,1009.50,0.00,11.1,33.19,10.00,31.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,210,08-19-2019,13:00:00,0.00,1009.62,60,24.3,1007.84,0.00,13.0,30.45,10.00,33.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,260,08-19-2019,13:00:00,2.80,1008.83,51,22.4,1008.09,0.00,5.6,27.01,12.00,34.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,230,08-19-2019,13:00:00,13.20,1009.33,51,21.7,1005.41,0.00,11.1,25.93,10.00,33.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,100,08-19-2019,13:00:00,0.00,1010.15,57,23.6,1009.48,0.00,7.4,29.09,10.00,33.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,090,08-19-2019,13:00:00,11.00,1009.68,57,23.9,1008.59,0.00,5.6,29.70,12.00,33.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,240,08-19-2019,13:00:00,27.10,1009.55,60,24.2,1006.68,0.00,16.7,30.11,12.00,33.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,240,08-19-2019,13:00:00,0.00,1008.64,61,25.0,1007.96,0.00,9.3,31.75,10.00,33.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,08-19-2019,13:00:00,0.00,1009.81,52,22.3,1005.76,0.00,0.0,26.95,10.00,33.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,070,08-19-2019,13:00:00,0.00,1008.91,52,21.9,1008.33,0.00,11.1,26.28,12.00,33.2
