WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,MeanSeaLevelPressure,LandVisibility,Rainfall,WindSpeed,StationPressure,Rainfall24Hr,AirTemperature,DewPoint,VaporPressure,MaximumTemperature
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,10-17-2019,19:00:00,74,1011.22,10.00,0.00,0.0,995.23,0.00,28.1,23.1,28.30,32.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,10-17-2019,19:00:00,73,1010.05,8.00,0.00,0.0,1006.04,0.00,29.5,24.2,30.16,33.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,10-17-2019,19:00:00,71,1011.36,8.00,0.00,0.0,1000.70,0.00,28.7,23.0,28.08,33.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,10-17-2019,19:00:00,68,1010.40,9.00,0.00,0.0,1008.48,0.00,30.0,23.5,28.91,33.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,060,10-17-2019,19:00:00,66,1011.17,10.00,0.00,14.8,990.39,0.00,29.3,22.2,26.78,33.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,050,10-17-2019,19:00:00,73,1011.02,10.00,0.00,7.4,993.36,0.00,28.1,22.8,27.77,32.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,040,10-17-2019,19:00:00,69,1010.63,10.00,0.00,5.6,994.52,0.00,29.0,22.7,27.56,33.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,040,10-17-2019,19:00:00,56,1010.36,10.00,0.00,5.6,996.41,0.00,29.8,20.1,23.51,34.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,030,10-17-2019,19:00:00,67,1011.14,10.00,0.00,5.6,996.32,0.00,28.5,21.8,26.13,34.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,10-17-2019,19:00:00,68,1010.81,10.00,0.00,0.0,996.23,0.00,30.0,23.5,28.91,33.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-17-2019,19:00:00,72,1010.25,10.00,0.00,0.0,1007.25,0.00,30.2,24.5,30.70,33.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,020,10-17-2019,19:00:00,65,1010.37,10.00,0.00,7.4,1002.47,0.00,30.2,22.9,27.93,34.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,070,10-17-2019,19:00:00,74,1008.96,6.00,0.00,5.6,1007.86,0.00,30.5,25.3,32.17,34.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,10-17-2019,19:00:00,67,1010.52,8.00,0.00,0.0,995.87,0.00,28.8,22.0,26.40,33.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,060,10-17-2019,19:00:00,92,1011.57,6.00,0.00,11.1,876.27,0.00,20.2,18.9,21.85,25.4
