WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,LandVisibility,Rainfall,VaporPressure,MinimumTemperature,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.8,09-22-2019,07:00:00,0.0,38.90,93,7.00,0.01,31.38,25.5,26.0,000,1010.70,1011.01
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.1,09-22-2019,07:00:00,0.0,23.70,97,7.00,1.40,31.79,24.8,25.5,000,1009.91,1010.60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.1,09-22-2019,07:00:00,0.0,19.60,97,10.00,0.00,31.79,25.0,25.5,000,1010.40,1010.89
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.5,09-22-2019,07:00:00,0.0,4.20,98,4.00,0.00,32.65,25.0,25.8,000,1009.63,1011.05
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.7,09-22-2019,07:00:00,9.3,7.50,95,5.00,4.80,33.10,25.5,26.6,340,1009.22,1010.91
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.2,09-22-2019,07:00:00,0.0,8.90,99,.80,5.50,30.28,24.3,24.4,000,1004.16,1012.28
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.5,09-22-2019,07:00:00,0.0,42.20,99,8.00,0.00,32.73,24.5,25.7,000,1010.44,1010.73
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.6,09-22-2019,07:00:00,0.0,44.50,92,8.00,2.50,30.84,23.5,26.0,000,1007.43,1010.58
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.0,09-22-2019,07:00:00,0.0,5.40,92,10.00,0.00,29.91,24.0,25.5,000,1004.17,1011.18
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.0,09-22-2019,07:00:00,3.7,70.50,97,7.00,16.40,29.75,23.9,24.4,200,1005.58,1011.26
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,25.3,09-22-2019,07:00:00,0.0,31.00,96,8.00,15.80,32.20,25.4,26.0,000,1002.96,1012.35
