WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,VaporPressure,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,DewPoint,WindDirection,WindSpeed
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.0,07-16-2019,01:00:00,72,28.64,0.00,0.00,1005.15,10.00,984.17,23.3,260,9.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.4,07-16-2019,01:00:00,96,31.06,28.30,3.60,1005.25,7.00,988.47,24.7,000,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.2,07-16-2019,01:00:00,95,30.42,20.40,3.30,1005.84,7.00,989.33,24.3,000,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.3,07-16-2019,01:00:00,78,30.04,0.00,0.00,1005.39,10.00,983.66,24.1,000,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.6,07-16-2019,01:00:00,74,25.63,0.00,0.00,1005.91,10.00,962.67,21.5,240,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.6,07-16-2019,01:00:00,73,25.37,0.00,0.00,1005.48,8.00,984.92,21.3,000,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.2,07-16-2019,01:00:00,100,32.04,46.40,37.00,1006.52,7.00,985.59,25.2,170,9.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.0,07-16-2019,01:00:00,88,31.38,14.80,0.00,1006.44,10.00,1006.01,24.8,330,3.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.0,07-16-2019,01:00:00,92,30.84,0.00,0.00,1006.13,6.00,1004.71,24.6,000,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.9,07-16-2019,01:00:00,89,29.84,0.00,0.00,1006.48,8.00,1001.53,24.0,000,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.3,07-16-2019,01:00:00,74,26.85,0.00,0.00,1006.35,12.00,1003.07,22.3,000,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.2,07-16-2019,01:00:00,82,28.01,0.00,0.00,1006.54,10.00,1005.44,23.0,000,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.7,07-16-2019,01:00:00,88,30.81,3.80,0.00,1006.11,8.00,1005.81,24.5,000,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.1,07-16-2019,01:00:00,96,32.40,49.30,0.00,1006.74,10.00,1006.25,25.4,000,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.9,07-16-2019,01:00:00,73,27.40,0.01,0.00,1006.07,10.00,1004.67,22.6,250,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.0,07-16-2019,01:00:00,92,29.00,0.00,0.00,1008.36,10.00,1000.29,23.5,000,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.4,07-16-2019,01:00:00,79,32.22,0.00,0.00,1005.94,10.00,1005.66,25.3,000,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.0,07-16-2019,01:00:00,74,29.74,0.00,0.00,1006.03,10.00,1002.92,23.9,000,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.0,07-16-2019,01:00:00,74,29.74,0.00,0.00,1006.11,10.00,999.23,23.9,260,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.5,07-16-2019,01:00:00,77,28.26,0.00,0.00,1006.34,7.00,1000.75,23.1,330,3.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.3,07-16-2019,01:00:00,92,29.80,2.90,0.00,1007.40,10.00,1006.13,24.0,290,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.5,07-16-2019,01:00:00,75,27.47,0.00,0.00,1006.18,11.00,1005.75,22.6,000,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.8,07-16-2019,01:00:00,88,27.61,0.00,0.00,1007.08,10.00,994.73,22.7,000,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.0,07-16-2019,01:00:00,81,28.94,21.00,0.00,1006.74,10.00,1006.02,23.5,000,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.0,07-16-2019,01:00:00,72,28.64,0.00,0.00,1006.28,10.00,1003.86,23.3,200,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.5,07-16-2019,01:00:00,75,31.00,0.00,0.00,1006.41,10.00,1005.90,24.6,260,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.4,07-16-2019,01:00:00,83,30.23,0.00,0.00,1006.16,10.00,1001.02,24.2,000,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.4,07-16-2019,01:00:00,84,32.47,18.90,0.00,1006.50,7.00,1006.09,25.4,000,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.5,07-16-2019,01:00:00,92,31.79,8.30,0.00,1006.38,8.00,1003.61,25.1,000,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.8,07-16-2019,01:00:00,78,27.52,0.00,0.00,1007.07,10.00,1006.28,22.7,000,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.0,07-16-2019,01:00:00,92,32.77,89.70,0.00,1006.47,7.00,1006.01,25.6,100,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.1,07-16-2019,01:00:00,87,29.41,0.01,0.00,1007.89,8.00,1007.21,23.8,000,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.6,07-16-2019,01:00:00,92,31.99,6.60,0.00,1008.09,8.00,1006.56,25.2,000,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,26.3,07-16-2019,01:00:00,93,31.68,10.10,0.00,1008.77,10.00,1007.85,25.0,000,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.8,07-16-2019,01:00:00,87,30.72,1.60,0.00,1008.32,10.00,1007.63,24.5,000,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.2,07-16-2019,01:00:00,94,30.15,0.00,0.00,1008.72,8.00,1007.92,24.2,000,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.9,07-16-2019,01:00:00,92,30.65,0.00,0.00,1008.02,10.00,1007.39,24.4,340,1.9
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.7,07-16-2019,01:00:00,92,30.28,0.00,0.00,1008.48,10.00,1008.07,24.2,000,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.0,07-16-2019,01:00:00,95,30.05,0.00,0.00,1011.43,5.00,1007.17,24.1,000,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.8,07-16-2019,01:00:00,97,30.48,5.60,0.00,1007.35,8.00,1005.73,24.4,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.5,07-16-2019,01:00:00,96,29.41,10.50,0.00,1008.22,6.00,1004.71,23.8,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.6,07-16-2019,01:00:00,91,29.82,0.00,0.00,1008.69,8.00,1007.33,24.0,000,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.0,07-16-2019,01:00:00,94,31.65,5.20,3.50,1008.70,10.00,1007.81,25.0,000,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.2,07-16-2019,01:00:00,93,29.89,0.00,0.00,1008.95,10.00,1005.36,24.0,000,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.0,07-16-2019,01:00:00,78,31.13,0.60,0.00,1008.52,10.00,1008.08,24.7,000,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.9,07-16-2019,01:00:00,75,31.52,1.50,0.00,1007.99,10.00,1007.01,24.9,280,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.7,07-16-2019,01:00:00,79,29.44,0.00,0.00,1007.96,10.00,1007.14,23.8,270,14.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.0,07-16-2019,01:00:00,92,30.84,0.00,0.00,1008.52,10.00,1006.70,24.6,000,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.6,07-16-2019,01:00:00,80,29.52,0.00,0.00,1007.12,10.00,1006.37,23.8,190,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.2,07-16-2019,01:00:00,91,30.94,0.00,0.00,1008.75,10.00,1004.74,24.6,000,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.7,07-16-2019,01:00:00,89,29.21,0.00,0.00,1008.73,10.00,1008.05,23.7,000,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.9,07-16-2019,01:00:00,91,30.38,0.00,0.00,1009.52,10.00,1008.39,24.3,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.2,07-16-2019,01:00:00,92,31.22,0.00,0.00,1008.78,10.00,1005.85,24.8,000,0.0
