WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,DewPoint,MaximumTemperature,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,WindSpeed
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.01,09-02-2019,19:00:00,76,27.8,23.3,31.6,28.55,0.20,1007.20,10.00,000,1002.06,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,2.10,09-02-2019,19:00:00,94,26.6,25.6,29.8,32.82,6.90,1007.18,2.00,180,1006.77,3.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.30,09-02-2019,19:00:00,95,26.0,25.1,29.0,31.93,9.10,1007.51,8.00,000,1004.73,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,2.00,09-02-2019,19:00:00,90,25.0,23.2,28.0,28.48,2.20,1008.95,6.00,000,1008.16,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.60,09-02-2019,19:00:00,88,26.8,24.6,29.1,31.00,4.20,1007.35,5.00,310,1006.89,11.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,09-02-2019,19:00:00,79,27.8,23.9,29.5,29.63,2.60,1008.27,9.00,290,1007.59,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-02-2019,19:00:00,77,27.8,23.4,29.8,28.82,1.00,1008.35,8.00,000,1006.83,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-02-2019,19:00:00,85,27.4,24.7,29.8,31.05,0.00,1009.26,10.00,200,1008.34,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-02-2019,19:00:00,78,28.7,24.4,31.0,30.54,0.01,1008.51,10.00,240,1007.83,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-02-2019,19:00:00,88,27.5,25.4,31.3,32.36,0.00,1008.69,10.00,000,1007.90,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-02-2019,19:00:00,78,28.0,23.8,33.6,29.46,0.00,1008.12,10.00,000,1007.49,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-02-2019,19:00:00,74,29.4,24.2,35.3,30.24,0.00,1008.53,10.00,000,1008.13,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-02-2019,19:00:00,71,28.2,22.4,31.6,27.16,0.01,1009.97,6.00,290,1005.76,3.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-02-2019,19:00:00,92,26.0,24.6,33.0,30.84,8.20,1008.57,10.00,000,1006.96,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-02-2019,19:00:00,90,26.5,24.8,32.7,31.24,0.50,1008.85,7.00,000,1005.37,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-02-2019,19:00:00,61,30.1,21.8,34.5,26.13,0.00,1007.96,10.00,280,1006.61,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-02-2019,19:00:00,88,28.5,26.4,30.7,34.40,0.00,1008.25,10.00,000,1007.37,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-02-2019,19:00:00,87,27.3,24.9,32.3,31.41,0.00,1008.74,10.00,000,1005.18,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-02-2019,19:00:00,78,29.0,24.7,33.5,31.13,0.00,1008.74,10.00,000,1008.31,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-02-2019,19:00:00,80,28.6,24.7,31.7,31.18,0.00,1007.99,10.00,000,1007.01,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-02-2019,19:00:00,82,27.3,24.0,30.5,29.77,0.00,1008.59,10.00,000,1007.78,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-02-2019,19:00:00,76,29.5,24.8,33.8,31.28,0.00,1008.36,12.00,000,1006.56,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-02-2019,19:00:00,65,30.7,23.3,33.1,28.62,0.00,1008.29,10.00,230,1007.55,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-02-2019,19:00:00,74,29.1,23.9,33.4,29.65,0.01,1008.54,10.00,240,1004.57,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-02-2019,19:00:00,78,29.0,24.7,33.0,31.13,0.50,1008.02,10.00,000,1007.34,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-02-2019,19:00:00,69,30.0,23.8,33.3,29.47,0.00,1008.11,10.00,000,1007.00,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-02-2019,19:00:00,83,29.1,25.9,33.1,33.33,0.00,1008.48,10.00,000,1005.58,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-02-2019,19:00:00,79,29.6,25.6,33.8,32.91,0.00,1008.28,8.00,000,1007.60,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-02-2019,19:00:00,77,27.6,23.2,33.3,28.45,0.00,1008.87,6.00,000,1004.75,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-02-2019,19:00:00,80,28.4,24.5,32.6,30.78,0.00,1007.33,10.00,000,1006.75,0.0
