WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,DewPoint,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,AirTemperature,WindDirection,WindSpeed,RelativeHumidity,LandVisibility,VaporPressure
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-13-2019,22:00:00,0.00,27.1,991.36,1007.44,10.50,28.5,240,5.6,92,10.00,35.87
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-13-2019,22:00:00,0.40,25.2,993.85,1007.91,85.40,26.8,000,0.0,91,10.00,32.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-13-2019,22:00:00,1.60,25.2,993.68,1008.57,28.40,26.2,000,0.0,94,7.00,32.04
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-13-2019,22:00:00,0.00,27.0,994.34,1008.99,17.20,28.0,000,0.0,94,7.00,35.69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-13-2019,22:00:00,0.01,25.2,1005.01,1008.02,0.01,28.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,81,10.00,32.14
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-13-2019,22:00:00,0.00,26.1,999.74,1007.64,0.00,29.3,000,0.0,83,8.00,33.74
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-13-2019,22:00:00,0.00,25.4,1007.00,1008.11,0.00,28.4,210,3.7,84,8.00,32.47
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-13-2019,22:00:00,0.00,26.1,993.82,1008.50,42.50,27.5,000,0.0,92,8.00,33.78
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-13-2019,22:00:00,0.00,20.2,874.83,1009.77,0.00,20.5,290,7.4,98,4.00,23.64
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-13-2019,22:00:00,0.00,27.7,1001.96,1007.80,0.10,29.2,000,0.0,92,10.00,37.10
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-13-2019,22:00:00,1.00,24.1,1007.83,1008.62,1.50,28.9,240,3.7,76,8.00,30.10
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-13-2019,22:00:00,1.70,25.6,1008.31,1008.75,4.00,28.2,000,0.0,86,6.00,32.92
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-13-2019,22:00:00,0.50,24.3,999.70,1011.12,7.30,25.0,000,0.0,96,4.00,30.32
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-13-2019,22:00:00,0.01,25.5,1007.64,1008.65,0.01,29.0,000,0.0,81,10.00,32.55
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-13-2019,22:00:00,0.00,24.8,1006.68,1008.49,0.00,28.5,270,5.6,80,8.00,31.26
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-13-2019,22:00:00,0.00,24.1,1007.70,1008.47,9.00,27.1,000,0.0,84,5.00,29.93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-13-2019,22:00:00,14.80,24.5,1008.45,1009.15,14.80,26.4,130,3.7,89,10.00,30.78
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-13-2019,22:00:00,0.00,24.6,1007.63,1008.34,0.00,27.8,240,3.7,83,7.00,31.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-13-2019,22:00:00,0.00,24.0,987.26,1008.51,1.90,26.0,170,3.7,89,10.00,29.76
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-13-2019,22:00:00,0.00,24.5,991.65,1008.38,4.10,27.2,000,0.0,85,7.00,30.67
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-13-2019,22:00:00,0.00,24.8,992.00,1008.47,2.70,26.8,000,0.0,89,7.00,31.27
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-13-2019,22:00:00,0.30,25.0,986.41,1008.32,0.90,26.6,000,0.0,91,10.00,31.71
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-13-2019,22:00:00,0.00,23.9,965.30,1008.82,0.00,25.5,050,3.7,91,10.00,29.64
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-13-2019,22:00:00,13.60,24.5,987.91,1008.65,13.60,24.8,000,0.0,98,10.00,30.75
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-13-2019,22:00:00,0.00,24.3,988.63,1009.66,1.40,24.7,240,5.6,97,9.00,30.30
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-13-2019,22:00:00,0.00,22.6,1008.39,1008.83,0.00,28.5,320,7.4,71,10.00,27.44
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-13-2019,22:00:00,0.00,26.0,1006.71,1008.12,0.01,27.6,000,0.0,91,6.00,33.70
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-13-2019,22:00:00,0.00,25.9,1003.22,1008.17,1.80,26.9,000,0.0,94,7.00,33.42
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-13-2019,22:00:00,0.00,22.8,1005.80,1009.09,0.00,28.7,290,7.4,71,12.00,27.81
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-13-2019,22:00:00,0.00,23.9,1007.81,1008.92,0.00,27.8,290,7.4,79,10.00,29.63
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-13-2019,22:00:00,0.50,24.1,1008.60,1008.90,1.50,28.6,000,0.0,77,7.00,30.07
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-13-2019,22:00:00,1.20,24.8,1010.18,1010.67,1.20,28.0,000,0.0,83,10.00,31.39
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-13-2019,22:00:00,0.01,23.3,1007.59,1008.99,0.01,29.3,230,11.1,70,10.00,28.67
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-13-2019,22:00:00,0.00,23.9,1002.23,1010.25,0.00,27.4,230,7.4,81,10.00,29.69
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-13-2019,22:00:00,0.01,25.5,1008.74,1009.02,0.01,29.0,270,9.3,81,10.00,32.55
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-13-2019,22:00:00,0.00,25.5,1006.12,1009.24,0.00,29.0,000,0.0,81,10.00,32.55
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-13-2019,22:00:00,0.00,24.3,1001.72,1008.64,0.00,28.6,300,7.4,78,10.00,30.34
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-13-2019,22:00:00,0.00,25.1,1002.64,1008.23,0.00,28.0,280,7.4,85,7.00,31.95
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-13-2019,22:00:00,0.00,21.6,1008.45,1009.71,0.00,27.3,270,18.5,71,10.00,25.82
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-13-2019,22:00:00,0.10,22.4,1008.43,1008.87,2.10,27.6,250,7.4,73,11.00,27.13
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-13-2019,22:00:00,0.00,21.4,996.94,1009.23,0.00,27.0,000,0.0,72,10.00,25.55
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-13-2019,22:00:00,0.00,21.8,1008.28,1008.99,0.00,28.6,240,9.3,67,10.00,26.04
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-13-2019,22:00:00,0.00,23.2,1006.57,1008.99,0.00,29.3,280,11.1,70,10.00,28.40
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-13-2019,22:00:00,0.00,26.0,1007.77,1008.28,0.00,29.4,250,14.8,82,10.00,33.66
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-13-2019,22:00:00,0.00,24.5,1003.57,1008.71,0.00,28.5,280,5.6,79,10.00,30.70
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-13-2019,22:00:00,0.00,25.5,1008.30,1008.71,0.00,28.8,000,0.0,83,7.00,32.71
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-13-2019,22:00:00,0.00,25.5,1006.11,1008.88,0.00,27.2,000,0.0,90,8.00,32.61
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-13-2019,22:00:00,0.00,21.7,1008.81,1009.59,0.00,27.4,000,0.0,71,10.00,25.99
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-13-2019,22:00:00,2.70,25.6,1008.47,1008.93,22.80,27.0,260,5.6,92,5.00,32.77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-13-2019,22:00:00,0.00,22.1,1010.29,1010.98,0.00,26.4,260,7.4,77,8.00,26.56
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-13-2019,22:00:00,0.00,23.1,1009.64,1011.18,0.00,26.0,000,0.0,84,10.00,28.18
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-13-2019,22:00:00,0.90,23.5,1011.14,1012.07,5.00,25.0,000,0.0,92,10.00,29.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-13-2019,22:00:00,0.00,22.9,1010.37,1011.06,0.90,27.0,290,9.3,78,10.00,27.88
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-13-2019,22:00:00,0.00,23.2,1011.47,1012.28,0.20,23.6,000,0.0,97,9.00,28.34
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-13-2019,22:00:00,0.00,22.9,1010.53,1011.17,8.00,25.3,000,0.0,87,10.00,27.97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-13-2019,22:00:00,0.00,23.4,1011.25,1011.66,16.10,24.0,000,0.0,97,8.00,28.78
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-13-2019,22:00:00,0.00,22.5,1010.13,1014.40,0.60,24.7,000,0.0,87,5.00,27.19
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-13-2019,22:00:00,0.00,23.8,1010.99,1012.63,11.80,24.5,000,0.0,96,7.00,29.41
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-13-2019,22:00:00,0.00,23.1,1008.60,1012.13,1.50,24.0,000,0.0,95,7.00,28.27
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-13-2019,22:00:00,0.00,21.6,1010.88,1012.24,0.00,26.0,300,7.4,77,10.00,25.87
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-13-2019,22:00:00,0.00,24.3,1011.27,1012.17,1.80,25.0,000,0.0,96,10.00,30.32
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-13-2019,22:00:00,0.00,23.0,1008.54,1012.16,10.20,23.7,000,0.0,96,10.00,28.01
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-13-2019,22:00:00,0.00,25.2,1011.49,1011.92,0.00,27.2,000,0.0,89,10.00,32.05
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-13-2019,22:00:00,0.00,22.8,1010.23,1011.23,0.01,26.5,000,0.0,80,10.00,27.77
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-13-2019,22:00:00,0.00,25.0,1011.56,1012.38,3.00,27.7,340,9.3,85,10.00,31.64
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-13-2019,22:00:00,0.00,23.4,1010.50,1012.34,0.30,25.3,000,0.0,89,10.00,28.75
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-13-2019,22:00:00,0.00,23.7,1011.38,1012.13,0.00,28.2,240,5.6,77,10.00,29.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-13-2019,22:00:00,0.00,24.2,1008.25,1012.27,0.00,26.1,260,5.6,89,10.00,30.22
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-13-2019,22:00:00,0.00,25.1,1011.61,1012.30,1.40,27.2,000,0.0,88,8.00,31.77
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-13-2019,22:00:00,0.00,24.1,1010.94,1012.06,0.00,27.0,000,0.0,84,10.00,30.02
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-13-2019,22:00:00,0.00,25.0,1009.29,1012.23,0.00,26.7,000,0.0,90,10.00,31.63
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-13-2019,22:00:00,0.00,24.2,1011.17,1011.87,2.40,26.7,000,0.0,86,8.00,30.26
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-13-2019,22:00:00,0.00,24.7,1007.98,1012.14,2.00,25.7,000,0.0,94,5.00,31.08
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-13-2019,22:00:00,0.00,24.1,1012.29,1012.89,0.60,25.0,000,0.0,95,8.00,30.05
