WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,AirTemperature,WindSpeed,Rainfall24Hr,DewPoint,StationPressure,LandVisibility,Rainfall
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.58,09-06-2019,10:00:00,88,230,1006.43,27.1,1.9,1.30,24.9,987.56,8.00,0.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.25,09-06-2019,10:00:00,91,000,1008.77,24.0,0.0,12.60,22.5,957.18,8.00,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.54,09-06-2019,10:00:00,81,130,1007.83,28.5,7.4,0.60,24.9,1003.89,8.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.38,09-06-2019,10:00:00,98,230,1009.05,21.0,7.4,2.60,20.7,913.62,.40,0.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.05,09-06-2019,10:00:00,89,250,1007.21,27.2,7.4,1.40,25.2,991.23,8.00,0.40
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.39,09-06-2019,10:00:00,72,190,1007.95,30.4,5.6,1.40,24.9,1003.95,10.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.15,09-06-2019,10:00:00,78,180,1009.25,28.5,5.6,11.60,24.2,998.61,10.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.09,09-06-2019,10:00:00,63,190,1008.69,31.0,5.6,0.00,23.0,1006.79,14.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.86,09-06-2019,10:00:00,81,260,1008.01,27.1,5.6,1.60,23.4,987.13,10.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.74,09-06-2019,10:00:00,76,000,1006.97,27.9,0.0,0.80,23.4,989.36,10.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.40,09-06-2019,10:00:00,80,270,1006.82,28.2,7.4,0.20,24.3,990.73,10.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.14,09-06-2019,10:00:00,75,250,1007.61,28.4,13.0,5.20,23.6,993.64,10.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.61,09-06-2019,10:00:00,78,230,1007.77,29.1,3.7,14.40,25.0,993.03,10.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.70,09-06-2019,10:00:00,79,290,1008.27,28.5,11.1,0.20,24.5,993.66,9.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.15,09-06-2019,10:00:00,71,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1007.57,30.7,0.0,0.00,24.7,1004.59,10.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.09,09-06-2019,10:00:00,79,000,1008.21,28.7,0.0,0.60,24.7,1000.30,10.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.54,09-06-2019,10:00:00,72,210,1009.03,28.8,9.3,0.20,23.3,1007.92,8.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.75,09-06-2019,10:00:00,83,000,1004.39,27.0,0.0,0.00,24.0,989.74,9.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.87,09-06-2019,10:00:00,99,260,1010.34,19.1,5.6,12.40,18.9,874.73,.05,1.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.56,09-06-2019,10:00:00,81,180,1008.51,28.0,3.7,1.70,24.4,1002.65,10.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.74,09-06-2019,10:00:00,74,180,1008.89,29.0,3.7,10.30,23.9,1008.09,9.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.24,09-06-2019,10:00:00,90,210,1009.04,26.5,9.3,18.40,24.8,1008.59,8.00,6.70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.31,09-06-2019,10:00:00,79,000,1009.86,28.3,0.0,8.20,24.3,998.57,6.00,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.70,09-06-2019,10:00:00,68,190,1008.71,30.4,5.6,0.00,23.9,1007.71,12.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.19,09-06-2019,10:00:00,73,170,1008.80,29.0,3.7,7.60,23.6,1006.99,8.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.59,09-06-2019,10:00:00,70,230,1008.84,29.4,3.7,0.01,23.3,1008.08,8.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.31,09-06-2019,10:00:00,79,210,1009.23,28.3,13.0,8.70,24.3,1008.53,10.00,0.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.57,09-06-2019,10:00:00,88,000,1009.04,28.1,0.0,15.30,26.0,1008.33,7.00,1.40
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.78,09-06-2019,10:00:00,74,270,1008.16,28.5,7.4,0.01,23.4,987.09,10.00,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.26,09-06-2019,10:00:00,81,000,1007.99,27.7,0.0,3.00,24.2,991.30,9.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.52,09-06-2019,10:00:00,80,240,1008.54,27.6,5.6,4.90,23.8,992.12,14.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.51,09-06-2019,10:00:00,73,000,1007.81,28.5,0.0,0.40,23.2,986.05,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.39,09-06-2019,10:00:00,76,230,1008.71,26.6,16.7,2.00,22.0,965.35,15.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.56,09-06-2019,10:00:00,69,230,1007.78,29.0,14.8,1.20,22.7,987.34,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.43,09-06-2019,10:00:00,85,250,1009.59,28.1,14.8,0.00,25.4,988.80,9.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.01,09-06-2019,10:00:00,79,190,1008.91,28.0,11.1,3.60,24.1,1008.48,10.00,1.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.34,09-06-2019,10:00:00,94,000,1009.24,27.0,0.0,62.90,25.9,1007.82,6.00,1.60
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,34.07,09-06-2019,10:00:00,93,000,1009.07,27.5,0.0,31.30,26.2,1004.14,8.00,0.20
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.17,09-06-2019,10:00:00,65,000,1009.05,29.8,0.0,0.40,22.5,1005.78,12.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.57,09-06-2019,10:00:00,76,260,1009.16,29.0,11.1,3.70,24.4,1008.06,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.42,09-06-2019,10:00:00,78,000,1008.98,28.5,0.0,13.40,24.3,1008.68,10.00,0.20
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.79,09-06-2019,10:00:00,83,000,1009.12,28.2,0.0,11.60,25.1,1008.43,10.00,1.80
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.95,09-06-2019,10:00:00,85,000,1008.77,28.0,0.0,10.60,25.1,1008.28,10.00,1.60
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.51,09-06-2019,10:00:00,79,200,1008.82,28.4,11.1,1.20,24.4,1007.42,10.00,0.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,31.29,09-06-2019,10:00:00,79,210,1009.14,28.8,14.8,13.50,24.8,1007.47,10.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,32.93,09-06-2019,10:00:00,90,000,1011.13,27.5,0.0,32.90,25.7,1003.11,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.71,09-06-2019,10:00:00,83,270,1009.45,28.8,3.7,41.80,25.5,1009.16,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.13,09-06-2019,10:00:00,78,000,1009.54,29.0,0.0,15.60,24.7,1006.42,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.70,09-06-2019,10:00:00,73,240,1009.65,28.6,11.1,1.70,23.4,1002.73,10.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,32.64,09-06-2019,10:00:00,89,270,1009.43,27.5,5.6,52.60,25.5,1003.82,10.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.12,09-06-2019,10:00:00,79,230,1010.51,28.2,16.7,7.00,24.2,1001.20,10.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.92,09-06-2019,10:00:00,82,000,1009.55,27.9,0.0,1.60,24.6,1008.29,14.00,0.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.05,09-06-2019,10:00:00,74,000,1009.25,30.3,0.0,0.10,25.2,1008.83,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.85,09-06-2019,10:00:00,74,000,1009.53,28.0,0.0,0.01,22.9,997.29,10.00,0.01
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.76,09-06-2019,10:00:00,62,310,1009.42,30.3,5.6,0.00,22.2,1008.71,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.78,09-06-2019,10:00:00,69,240,1009.84,30.3,11.1,0.00,24.0,1007.42,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.82,09-06-2019,10:00:00,75,260,1009.71,28.9,13.0,0.60,24.0,1009.19,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,34.67,09-06-2019,10:00:00,84,260,1009.74,29.6,1.9,0.40,26.5,1004.62,13.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.05,09-06-2019,10:00:00,77,000,1010.01,29.1,0.0,27.10,24.7,1009.60,8.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.98,09-06-2019,10:00:00,80,000,1010.32,29.0,0.0,16.10,25.2,1007.56,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.77,09-06-2019,10:00:00,80,000,1010.89,26.5,0.0,0.50,22.8,1010.10,10.00,0.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.33,09-06-2019,10:00:00,91,070,1010.30,26.4,5.6,0.50,24.8,1009.84,7.00,0.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,32.96,09-06-2019,10:00:00,81,180,1011.02,29.2,3.7,1.00,25.7,1010.34,8.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.08,09-06-2019,10:00:00,81,170,1010.63,29.4,1.9,0.80,25.7,1009.11,7.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.59,09-06-2019,10:00:00,72,220,1011.45,30.0,5.6,0.00,24.4,1010.54,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.62,09-06-2019,10:00:00,71,000,1010.96,30.3,0.0,0.20,24.4,1010.28,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.97,09-06-2019,10:00:00,84,180,1011.39,27.5,3.7,0.00,24.6,1010.59,8.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.92,09-06-2019,10:00:00,76,270,1010.35,30.3,5.6,0.00,25.6,1009.72,9.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.30,09-06-2019,10:00:00,63,000,1010.81,33.2,0.0,0.00,25.3,1010.41,10.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.57,09-06-2019,10:00:00,76,000,1012.94,29.0,0.0,2.20,24.4,1008.73,6.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.79,09-06-2019,10:00:00,72,280,1011.03,30.1,7.4,0.00,24.5,1009.43,12.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,32.18,09-06-2019,10:00:00,71,220,1011.07,31.2,5.6,0.00,25.3,1007.63,12.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.42,09-06-2019,10:00:00,65,000,1011.05,30.6,0.0,0.00,23.2,1009.71,8.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,34.48,09-06-2019,10:00:00,89,000,1010.91,28.4,0.0,0.00,26.4,1010.02,10.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.13,09-06-2019,10:00:00,78,210,1010.92,29.5,5.6,0.00,25.2,1007.37,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.31,09-06-2019,10:00:00,72,000,1010.62,30.5,0.0,0.00,24.8,1010.19,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.59,09-06-2019,10:00:00,74,270,1010.40,30.7,5.6,0.00,25.5,1009.42,10.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,36.44,09-06-2019,10:00:00,86,270,1011.35,30.0,5.6,0.00,27.4,1010.54,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.75,09-06-2019,10:00:00,75,000,1011.36,30.5,0.0,0.00,25.6,1009.56,10.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.18,09-06-2019,10:00:00,69,000,1011.05,30.5,0.0,0.00,24.2,1010.30,10.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.17,09-06-2019,10:00:00,66,190,1011.14,30.7,5.6,0.01,23.6,1007.17,10.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.72,09-06-2019,10:00:00,72,000,1010.87,30.7,0.0,0.00,25.0,1010.20,10.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.35,09-06-2019,10:00:00,64,000,1011.51,31.5,0.0,4.80,23.7,1010.40,12.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,33.19,09-06-2019,10:00:00,72,260,1011.30,31.4,5.6,0.00,25.8,1008.41,12.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.73,09-06-2019,10:00:00,70,000,1010.58,31.6,0.0,2.40,25.5,1009.90,11.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.89,09-06-2019,10:00:00,68,000,1011.56,30.5,0.0,0.00,24.0,1007.46,6.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.33,09-06-2019,10:00:00,68,250,1010.79,31.0,5.6,0.00,24.3,1010.21,12.00,0.00
