WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection,DewPoint,WindSpeed,VaporPressure,StationPressure
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-24-2019,10:00:00,72,0.00,30.5,23.80,1010.54,10.00,210,25.0,3.7,31.60,1010.11
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-24-2019,10:00:00,73,0.00,31.1,18.20,1010.09,10.00,230,25.6,7.4,32.84,1009.11
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-24-2019,10:00:00,79,0.00,31.9,0.00,1011.04,10.00,170,27.8,13.0,37.34,1010.23
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-24-2019,10:00:00,72,0.00,30.5,6.80,1011.03,10.00,160,24.8,7.4,31.31,1009.23
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-24-2019,10:00:00,64,0.00,31.0,0.00,1010.82,12.00,150,23.5,3.7,28.92,1010.08
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-24-2019,10:00:00,71,0.00,29.9,0.40,1011.27,10.00,230,24.0,13.0,29.83,1007.30
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-24-2019,10:00:00,74,0.00,30.1,3.90,1011.98,10.00,000,25.0,0.0,31.64,1011.30
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-24-2019,10:00:00,66,0.00,31.1,1.00,1012.23,12.00,180,24.1,11.1,29.96,1011.12
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-24-2019,10:00:00,72,0.00,30.6,14.90,1011.32,12.00,250,24.9,14.8,31.51,1008.43
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-24-2019,10:00:00,75,0.00,30.1,0.00,1011.27,10.00,000,25.1,0.0,31.93,1010.59
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-24-2019,10:00:00,68,0.00,29.7,22.10,1011.55,10.00,170,23.1,9.3,28.34,1007.45
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-24-2019,10:00:00,62,0.00,30.5,0.00,1010.83,12.00,270,22.4,13.0,27.14,1010.25
