WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,VaporPressure,RelativeHumidity,Rainfall,MeanSeaLevelPressure,DewPoint,AirTemperature,Rainfall24Hr,LandVisibility,StationPressure,WindSpeed
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-11-2019,01:00:00,000,31.22,97,0.00,1002.29,24.8,25.2,4.10,6.00,972.44,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-11-2019,01:00:00,000,32.04,94,0.00,1000.61,25.2,26.2,25.00,7.00,965.34,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-11-2019,01:00:00,000,29.74,99,5.60,1002.17,23.9,24.1,31.50,4.00,972.38,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-11-2019,01:00:00,000,32.61,90,0.00,1001.15,25.5,27.2,2.40,7.00,993.90,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-11-2019,01:00:00,120,30.38,98,10.80,1003.11,24.3,24.6,30.60,4.00,983.14,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,08-11-2019,01:00:00,000,29.41,96,14.40,1002.98,23.8,24.5,39.40,2.00,974.25,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-11-2019,01:00:00,100,32.07,98,2.00,1002.88,25.2,25.5,23.00,10.00,982.70,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-11-2019,01:00:00,000,31.33,97,25.20,1003.71,24.8,25.4,25.50,12.00,981.96,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-11-2019,01:00:00,170,31.55,95,2.40,1003.32,24.9,25.8,2.60,12.00,983.84,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-11-2019,01:00:00,110,31.52,86,0.00,1003.83,24.9,27.5,4.20,10.00,987.17,1.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-11-2019,01:00:00,000,32.38,92,0.00,1004.38,25.4,26.8,6.70,10.00,987.02,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-11-2019,01:00:00,000,31.68,98,4.40,1002.29,25.0,25.3,112.60,9.00,976.51,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-11-2019,01:00:00,140,33.50,95,0.00,1001.83,25.9,26.8,6.30,10.00,996.07,9.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-11-2019,01:00:00,000,34.19,96,0.00,1000.28,26.3,27.0,2.70,10.00,994.13,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-11-2019,01:00:00,000,31.79,92,0.00,1002.73,25.1,26.5,4.40,8.00,986.34,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-11-2019,01:00:00,210,29.41,96,8.70,999.55,23.8,24.5,51.90,7.00,977.22,9.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-11-2019,01:00:00,000,31.55,95,1.20,1001.52,24.9,25.8,10.20,6.00,987.16,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-11-2019,01:00:00,000,32.15,99,2.20,1001.15,25.2,25.4,34.30,6.00,984.78,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-11-2019,01:00:00,150,31.68,93,0.00,1001.57,25.0,26.3,29.00,10.00,996.36,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-11-2019,01:00:00,000,31.71,91,0.00,1001.12,25.0,26.6,4.90,10.00,987.99,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-11-2019,01:00:00,000,32.48,97,0.00,1000.91,25.4,26.0,16.50,10.00,991.61,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-11-2019,01:00:00,000,30.05,95,0.10,1003.12,24.1,25.0,34.30,8.00,981.38,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-11-2019,01:00:00,000,30.32,96,17.00,1001.62,24.3,25.0,52.70,7.00,984.10,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-11-2019,01:00:00,150,31.55,90,0.00,1003.69,24.9,26.8,0.20,10.00,987.90,7.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-11-2019,01:00:00,000,31.00,93,0.00,1001.86,24.6,25.8,23.10,8.00,983.01,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-11-2019,01:00:00,000,27.58,95,0.40,1003.78,22.7,23.6,23.60,6.00,952.37,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-11-2019,01:00:00,090,31.41,92,0.00,1001.15,24.9,26.3,35.60,6.00,997.21,11.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-11-2019,01:00:00,190,24.44,95,2.70,1001.53,20.7,21.5,57.20,2.50,906.96,5.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-11-2019,01:00:00,000,33.27,97,0.00,1003.33,25.8,26.4,3.10,8.00,987.37,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-11-2019,01:00:00,180,30.59,84,0.00,1001.70,24.4,27.3,1.10,10.00,997.69,11.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-11-2019,01:00:00,000,32.26,93,0.00,1002.91,25.3,26.6,0.00,7.00,992.27,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-11-2019,01:00:00,150,29.00,83,0.00,1002.40,23.5,26.6,0.20,9.00,1000.48,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-11-2019,01:00:00,000,30.05,88,0.00,1002.65,24.1,26.3,14.00,10.00,981.84,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-11-2019,01:00:00,000,31.65,94,0.00,1002.87,25.0,26.0,10.00,10.00,985.22,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-11-2019,01:00:00,190,31.88,93,0.00,1002.91,25.1,26.4,19.20,10.00,986.78,5.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-11-2019,01:00:00,160,31.57,93,0.30,1004.18,24.9,26.1,12.90,10.00,990.15,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-11-2019,01:00:00,000,31.93,95,0.20,1005.15,25.1,26.0,21.40,10.00,990.30,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-11-2019,01:00:00,210,32.38,92,0.00,1004.50,25.4,26.8,2.40,10.00,989.85,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-11-2019,01:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.48,85,0.00,1001.58,24.4,27.1,2.70,10.00,998.58,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-11-2019,01:00:00,100,31.27,89,0.00,1001.98,24.8,26.8,3.80,7.00,994.06,7.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-11-2019,01:00:00,150,32.13,90,0.00,1002.44,25.2,27.1,0.30,7.00,1001.34,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-11-2019,01:00:00,000,31.67,84,0.00,1001.90,25.0,28.0,0.00,8.00,987.34,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-11-2019,01:00:00,180,23.13,99,2.40,1004.59,19.8,20.0,28.80,.05,870.13,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-11-2019,01:00:00,180,31.79,92,0.00,1002.43,25.1,26.5,3.30,10.00,996.56,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-11-2019,01:00:00,190,29.90,80,0.00,1003.32,24.0,27.8,1.90,8.00,1002.53,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-11-2019,01:00:00,210,30.85,77,0.00,1002.28,24.6,29.0,0.00,10.00,1001.84,9.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-11-2019,01:00:00,000,30.32,96,0.60,1003.92,24.3,25.0,16.00,3.00,992.58,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-11-2019,01:00:00,210,30.34,87,0.00,1002.91,24.3,26.6,0.00,10.00,1001.90,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-11-2019,01:00:00,180,30.64,86,0.00,1002.70,24.4,26.9,0.30,8.00,1000.88,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-11-2019,01:00:00,000,29.00,83,0.00,1002.75,23.5,26.6,0.40,7.00,1001.98,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-11-2019,01:00:00,200,29.79,81,0.00,1003.74,24.0,27.6,0.01,10.00,1003.04,13.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-11-2019,01:00:00,000,32.12,86,0.00,1003.58,25.2,27.8,0.00,7.00,1002.88,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-11-2019,01:00:00,190,31.05,85,0.00,1003.06,24.7,27.4,0.20,10.00,982.02,5.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-11-2019,01:00:00,000,29.35,85,0.00,1004.26,23.7,26.5,1.60,7.00,987.56,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-11-2019,01:00:00,180,29.86,88,0.00,1004.75,24.0,26.2,1.00,7.00,988.31,9.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-11-2019,01:00:00,130,27.03,74,0.00,1003.17,22.4,27.4,0.00,10.00,981.43,3.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-11-2019,01:00:00,160,27.40,82,0.00,1003.16,22.6,26.0,2.50,10.00,959.95,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-11-2019,01:00:00,140,30.10,85,0.00,1003.49,24.1,26.9,1.00,10.00,983.00,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-11-2019,01:00:00,180,31.71,97,0.00,1005.13,25.0,25.6,0.40,8.00,984.26,13.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-11-2019,01:00:00,200,30.94,86,0.60,1003.65,24.6,27.2,1.40,9.00,1003.22,11.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-11-2019,01:00:00,000,31.74,95,0.00,1003.77,25.0,25.9,2.80,6.00,1002.36,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-11-2019,01:00:00,000,31.79,92,0.00,1004.12,25.1,26.5,1.40,7.00,999.19,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-11-2019,01:00:00,190,29.27,84,0.00,1002.85,23.7,26.6,0.01,10.00,999.56,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-11-2019,01:00:00,000,30.13,89,0.00,1003.00,24.2,26.2,0.01,10.00,1001.90,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-11-2019,01:00:00,230,30.92,82,0.10,1003.68,24.6,27.9,0.10,8.00,1003.38,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-11-2019,01:00:00,150,31.11,82,0.00,1003.27,24.7,28.0,0.00,10.00,1002.79,1.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-11-2019,01:00:00,210,29.55,79,0.00,1003.30,23.8,27.9,1.60,10.00,1001.90,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-11-2019,01:00:00,180,31.33,91,0.00,1005.46,24.8,26.4,0.00,10.00,997.45,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-11-2019,01:00:00,180,33.04,85,0.00,1003.30,25.7,28.4,4.50,10.00,1003.01,7.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-11-2019,01:00:00,260,29.76,77,0.00,1003.78,24.0,28.3,0.00,10.00,1000.67,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-11-2019,01:00:00,210,30.56,81,0.00,1004.25,24.4,28.0,0.00,10.00,997.35,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-11-2019,01:00:00,000,31.82,90,0.00,1004.25,25.1,26.8,1.20,8.00,998.66,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-11-2019,01:00:00,000,31.79,97,0.70,1003.94,25.1,25.5,2.40,6.00,1002.67,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-11-2019,01:00:00,240,31.05,85,0.00,1003.82,24.7,27.4,0.40,11.00,1003.39,18.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-11-2019,01:00:00,000,29.95,96,0.30,1004.63,24.1,24.8,8.00,10.00,992.32,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-11-2019,01:00:00,000,29.89,86,0.30,1004.46,24.0,26.5,1.50,9.00,1003.74,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-11-2019,01:00:00,230,30.42,78,0.00,1003.68,24.3,28.5,0.60,10.00,1001.27,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-11-2019,01:00:00,250,32.79,83,0.00,1004.47,25.6,28.7,0.50,10.00,1003.95,24.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-11-2019,01:00:00,190,31.79,83,0.00,1004.95,25.1,28.2,1.60,7.00,1004.54,9.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-11-2019,01:00:00,000,32.77,92,2.50,1005.03,25.6,27.0,6.20,8.00,1002.26,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-11-2019,01:00:00,230,29.74,90,4.20,1004.73,23.9,25.7,8.90,6.00,1003.94,7.4
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-11-2019,01:00:00,230,33.27,97,10.40,1006.38,25.8,26.4,34.90,4.00,1005.92,9.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-11-2019,01:00:00,000,30.32,96,5.80,1006.19,24.3,25.0,20.80,6.00,1005.50,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-11-2019,01:00:00,000,30.67,90,10.20,1006.27,24.5,26.2,12.40,7.00,1004.74,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-11-2019,01:00:00,200,31.19,88,0.60,1006.84,24.7,26.9,9.10,10.00,1005.93,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-11-2019,01:00:00,000,29.22,76,0.00,1006.44,23.7,28.3,0.00,10.00,1005.75,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-11-2019,01:00:00,210,30.69,96,0.20,1007.04,24.5,25.2,3.00,8.00,1006.24,1.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-11-2019,01:00:00,000,29.43,86,0.00,1005.98,23.8,26.4,2.10,10.00,1005.35,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-11-2019,01:00:00,000,30.32,96,0.00,1006.55,24.3,25.0,1.70,10.00,1006.15,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-11-2019,01:00:00,230,32.61,90,0.01,1009.08,25.5,27.2,0.01,5.00,1004.87,13.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-11-2019,01:00:00,000,30.75,98,0.40,1008.81,24.5,24.8,5.60,6.00,1007.19,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-11-2019,01:00:00,000,30.32,96,0.20,1007.79,24.3,25.0,13.50,6.00,1004.29,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-11-2019,01:00:00,000,30.15,94,0.01,1007.08,24.2,25.2,4.20,8.00,1005.71,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-11-2019,01:00:00,240,32.33,90,0.00,1007.22,25.3,27.2,18.50,10.00,1006.34,13.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-11-2019,01:00:00,000,30.44,93,0.00,1007.35,24.3,25.5,4.30,10.00,1003.77,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-11-2019,01:00:00,270,28.90,78,0.40,1007.24,23.5,27.7,5.20,9.00,1006.81,9.3
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-11-2019,01:00:00,210,30.81,88,1.20,1007.06,24.5,26.7,7.50,10.00,1006.06,5.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-11-2019,01:00:00,270,32.18,80,0.00,1007.32,25.3,29.1,1.80,10.00,1006.51,29.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-11-2019,01:00:00,000,30.32,96,0.00,1007.25,24.3,25.0,11.00,10.00,1005.42,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-11-2019,01:00:00,270,27.55,84,0.00,1006.96,22.7,25.5,2.10,10.00,1006.20,1.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-11-2019,01:00:00,220,31.31,98,0.20,1007.54,24.8,25.1,13.80,10.00,1003.51,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-11-2019,01:00:00,000,31.25,96,0.00,1008.53,24.8,25.5,18.30,10.00,1007.84,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-11-2019,01:00:00,000,30.42,95,0.00,1007.47,24.3,25.2,3.20,9.00,1006.34,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-11-2019,01:00:00,000,30.30,97,0.00,1007.73,24.3,24.7,7.10,9.00,1004.78,0.0
