WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,AirTemperature,WindDirection,Rainfall,DewPoint,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,WindSpeed,MeanSeaLevelPressure,LandVisibility
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.7,09-14-2019,19:00:00,25.5,000,7.20,24.8,51.10,31.25,96,1004.82,0.0,1007.61,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.7,09-14-2019,19:00:00,27.5,270,0.00,22.8,0.01,27.73,76,1007.45,9.3,1008.23,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,30.6,09-14-2019,19:00:00,25.3,000,4.70,24.0,96.30,29.80,92,1007.12,0.0,1007.58,4.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.0,09-14-2019,19:00:00,24.4,000,1.00,23.1,7.00,28.20,92,1008.12,0.0,1008.81,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.7,09-14-2019,19:00:00,25.6,000,5.40,23.8,10.00,29.56,90,1007.53,0.0,1009.06,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.5,09-14-2019,19:00:00,23.6,000,14.10,22.6,31.10,27.33,94,1009.24,0.0,1010.17,7.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.3,09-14-2019,19:00:00,25.7,000,0.10,23.9,19.50,29.74,90,1007.90,0.0,1008.59,9.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.7,09-14-2019,19:00:00,24.5,210,0.20,23.8,9.20,29.41,96,1009.10,1.9,1009.91,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,34.0,09-14-2019,19:00:00,25.0,000,0.40,23.5,3.90,29.00,92,1008.68,0.0,1009.32,9.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,34.0,09-14-2019,19:00:00,24.4,000,0.01,23.2,21.70,28.45,93,1009.08,0.0,1009.49,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.7,09-14-2019,19:00:00,24.1,000,0.80,23.5,16.20,28.96,97,1007.15,0.0,1011.42,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,32.5,09-14-2019,19:00:00,24.0,000,0.01,22.8,7.00,27.76,93,1008.64,0.0,1010.27,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,32.0,09-14-2019,19:00:00,24.0,000,0.20,23.1,12.60,28.27,95,1006.95,0.0,1010.47,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.5,09-14-2019,19:00:00,24.6,000,2.00,23.7,2.00,29.33,95,1009.86,0.0,1011.23,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.5,09-14-2019,19:00:00,26.0,240,0.00,23.8,2.80,29.50,88,1009.55,18.5,1010.44,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.7,09-14-2019,19:00:00,23.1,260,6.70,22.5,9.50,27.24,96,1007.57,5.6,1011.18,7.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.0,09-14-2019,19:00:00,24.5,000,11.40,23.5,15.20,28.89,94,1009.66,0.0,1010.10,8.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.0,09-14-2019,19:00:00,25.0,260,8.60,24.3,15.30,30.32,96,1008.72,7.4,1009.73,7.00
